Idx,ActionNr,Rescued
1,53827.0000,13.2000
2,107655.0000,24.8000
3,161482.0000,43.8000
4,215309.0000,68.4000
5,269136.0000,107.6000
6,322964.0000,156.6000
7,376791.0000,218.2000
8,430618.0000,286.2000
9,484446.0000,366.0000
10,538273.0000,468.0000
11,592100.0000,594.8000
12,645927.0000,749.0000
13,699755.0000,908.6000
14,753582.0000,1068.6000
15,807409.0000,1237.4000
16,861237.0000,1421.0000
17,915064.0000,1616.8000
18,968891.0000,1827.6000
19,1022719.0000,2054.0000
20,1076546.0000,2291.0000
21,1130373.0000,2540.0000
22,1184200.0000,2806.6000
23,1238028.0000,3090.4000
24,1291855.0000,3376.6000
25,1345682.0000,3676.6000
26,1399510.0000,4010.4000
27,1453337.0000,4356.0000
28,1507164.0000,4719.0000
29,1560991.0000,5105.8000
30,1614819.0000,5497.2000
31,1668646.0000,5889.8000
32,1722473.0000,6312.8000
33,1776301.0000,6781.0000
34,1830128.0000,7279.2000
35,1883955.0000,7799.6000
36,1937782.0000,8366.4000
37,1991610.0000,8923.6000
38,2045437.0000,9530.0000
39,2099264.0000,10178.0000
40,2153092.0000,10863.4000
41,2206919.0000,11587.6000
42,2260746.0000,12339.4000
43,2314573.0000,13130.4000
44,2368401.0000,13948.4000
45,2422228.0000,14808.2000
46,2476055.0000,15714.4000
47,2529883.0000,16667.0000
48,2583710.0000,17726.6000
49,2637537.0000,18812.0000
50,2691364.0000,19906.4000
51,2745192.0000,21079.4000
52,2799019.0000,22273.0000
53,2852846.0000,23548.4000
54,2906674.0000,24863.2000
55,2960501.0000,26211.8000
56,3014328.0000,27697.4000
57,3068156.0000,29220.0000
58,3121983.0000,30807.8000
59,3175810.0000,32443.0000
60,3229637.0000,34096.4000
61,3283465.0000,35844.8000
62,3337292.0000,37596.2000
63,3391119.0000,39403.0000
64,3444947.0000,41241.0000
65,3498774.0000,43197.2000
66,3552601.0000,45238.6000
67,3606428.0000,47352.8000
68,3660256.0000,49499.6000
69,3714083.0000,51668.2000
70,3767910.0000,53914.2000
71,3821738.0000,56262.6000
72,3875565.0000,58695.2000
73,3929392.0000,61125.8000
74,3983219.0000,63610.8000
75,4037047.0000,66157.8000
76,4090874.0000,68774.8000
77,4144701.0000,71439.6000
78,4198529.0000,74099.4000
79,4252356.0000,76771.0000
80,4306183.0000,79470.2000
81,4360010.0000,82094.6000
82,4413838.0000,84751.4000
83,4467665.0000,87462.4000
84,4521492.0000,90189.2000
85,4575320.0000,92946.8000
86,4629147.0000,95730.8000
87,4682974.0000,98547.8000
88,4736802.0000,101302.8000
89,4790629.0000,104062.2000
90,4844456.0000,106850.0000
91,4898283.0000,109711.2000
92,4952111.0000,112578.8000
93,5005938.0000,115431.0000
94,5059765.0000,118345.2000
95,5113593.0000,121246.0000
96,5167420.0000,124132.0000
97,5221247.0000,126996.8000
98,5275074.0000,129917.6000
99,5328902.0000,132831.0000
100,5382729.0000,135766.8000
101,5436556.0000,138676.2000
102,5490384.0000,141602.0000
103,5544211.0000,144574.2000
104,5598038.0000,147539.8000
105,5651865.0000,150416.6000
106,5705693.0000,153338.4000
107,5759520.0000,156304.8000
108,5813347.0000,159283.6000
109,5867175.0000,162279.4000
110,5921002.0000,165210.6000
111,5974829.0000,168164.6000
112,6028656.0000,171119.6000
113,6082484.0000,174101.6000
114,6136311.0000,177068.4000
115,6190138.0000,180011.2000
116,6243966.0000,182941.6000
117,6297793.0000,185885.2000
118,6351620.0000,188889.0000
119,6405448.0000,191910.8000
120,6459275.0000,194955.2000
121,6513102.0000,197972.4000
122,6566929.0000,200974.6000
123,6620757.0000,204006.8000
