EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0833,0.8500,0.0667,95.1000,-312.0000
2,0.0917,0.8583,0.0500,95.8000,-308.8500
3,0.1167,0.8278,0.0556,100.1333,-301.7333
4,0.0958,0.8333,0.0708,98.9750,-306.9750
5,0.1067,0.8233,0.0700,98.5600,-306.2400
6,0.1028,0.8194,0.0778,99.3333,-308.0833
7,0.1024,0.8238,0.0738,98.1857,-305.1286
8,0.0958,0.8292,0.0750,97.1500,-305.3625
9,0.0926,0.8352,0.0722,96.7222,-305.8444
10,0.0933,0.8300,0.0767,96.7900,-306.6200
11,0.0924,0.8303,0.0773,96.7545,-306.5091
12,0.0958,0.8250,0.0792,96.7250,-305.5167
13,0.1000,0.8231,0.0769,96.6154,-305.0231
14,0.1024,0.8167,0.0810,96.8929,-304.5929
15,0.1022,0.8156,0.0822,96.9133,-304.6733
16,0.1010,0.8187,0.0802,96.5312,-305.6000
17,0.1010,0.8186,0.0804,96.7000,-305.2176
18,0.0991,0.8222,0.0787,96.5667,-305.6111
19,0.1009,0.8184,0.0807,97.0474,-306.3842
20,0.1017,0.8183,0.0800,96.9700,-306.7850
21,0.1016,0.8143,0.0841,98.0095,-307.1476
22,0.1015,0.8144,0.0841,98.5045,-307.7136
23,0.1007,0.8116,0.0877,98.6870,-307.6217
24,0.0979,0.8146,0.0875,98.4292,-308.0958
25,0.1007,0.8133,0.0860,98.2800,-307.5120
26,0.1020,0.8127,0.0853,98.1240,-307.5520
27,0.1047,0.8087,0.0867,98.4320,-307.4520
28,0.1007,0.8127,0.0867,98.0400,-308.4480
29,0.1053,0.8107,0.0840,98.0440,-307.4400
30,0.1053,0.8113,0.0833,97.7280,-307.2480
31,0.1067,0.8120,0.0813,97.3200,-306.7880
32,0.1060,0.8107,0.0833,97.6400,-307.7240
33,0.1067,0.8087,0.0847,98.1040,-307.9000
34,0.1093,0.8020,0.0887,98.4520,-308.2800
35,0.1100,0.8013,0.0887,98.7120,-308.4040
36,0.1100,0.8040,0.0860,98.8320,-307.6920
37,0.1087,0.8060,0.0853,98.8320,-308.3760
38,0.1073,0.8073,0.0853,98.6640,-309.3760
39,0.1067,0.8100,0.0833,98.6560,-309.9560
40,0.1080,0.8053,0.0867,98.9400,-310.6080
41,0.1087,0.8033,0.0880,99.2720,-309.9360
42,0.1113,0.8020,0.0867,99.2880,-310.3760
43,0.1127,0.7993,0.0880,99.3840,-310.3520
44,0.1113,0.8020,0.0867,99.0440,-309.8480
45,0.1100,0.8020,0.0880,99.1680,-309.3680
46,0.1113,0.8060,0.0827,98.3960,-308.9760
47,0.1133,0.8033,0.0833,98.0360,-308.2920
48,0.1133,0.8093,0.0773,97.6600,-308.2080
49,0.1140,0.8093,0.0767,97.7040,-308.5000
50,0.1100,0.8140,0.0760,97.5840,-309.3880
51,0.1073,0.8173,0.0753,97.8480,-309.6360
52,0.1053,0.8173,0.0773,97.9480,-310.1280
53,0.1080,0.8153,0.0767,98.3760,-309.5280
54,0.1093,0.8113,0.0793,98.8200,-309.5400
55,0.1067,0.8133,0.0800,99.2680,-310.3520
56,0.1067,0.8133,0.0800,99.3120,-310.3840
57,0.1060,0.8153,0.0787,99.0160,-310.1720
58,0.1080,0.8153,0.0767,98.9400,-309.3560
59,0.1080,0.8180,0.0740,98.8840,-308.5560
60,0.1087,0.8180,0.0733,98.3800,-308.6000
61,0.1087,0.8173,0.0740,97.7320,-309.5040
62,0.1113,0.8147,0.0740,98.0000,-309.0040
63,0.1133,0.8113,0.0753,98.0160,-308.2280
64,0.1127,0.8107,0.0767,97.8360,-307.8240
65,0.1127,0.8167,0.0707,97.6760,-307.0720
66,0.1127,0.8173,0.0700,97.7040,-307.9000
67,0.1107,0.8193,0.0700,97.8040,-308.2440
68,0.1120,0.8200,0.0680,97.5760,-307.5760
69,0.1133,0.8193,0.0673,97.5800,-307.7600
70,0.1133,0.8227,0.0640,97.3400,-307.7160
71,0.1127,0.8240,0.0633,97.2280,-307.1400
72,0.1120,0.8240,0.0640,97.1200,-307.5160
73,0.1133,0.8200,0.0667,97.3520,-307.7320
74,0.1147,0.8173,0.0680,97.3600,-307.3720
75,0.1180,0.8127,0.0693,97.7080,-307.0080
76,0.1187,0.8073,0.0740,97.7840,-307.3480
77,0.1200,0.8107,0.0693,97.5240,-305.9880
78,0.1193,0.8107,0.0700,97.4360,-306.1360
79,0.1160,0.8167,0.0673,96.6400,-306.8200
80,0.1173,0.8133,0.0693,96.0560,-306.5560
81,0.1160,0.8133,0.0707,96.0520,-307.1880
82,0.1167,0.8133,0.0700,96.1800,-306.8680
83,0.1167,0.8127,0.0707,96.3000,-307.5680
84,0.1153,0.8160,0.0687,95.9560,-308.1480
85,0.1160,0.8167,0.0673,96.2040,-308.0960
86,0.1173,0.8127,0.0700,96.5760,-308.3840
87,0.1133,0.8153,0.0713,96.5720,-309.3680
88,0.1093,0.8187,0.0720,96.7040,-309.6280
89,0.1067,0.8227,0.0707,96.5480,-310.7120
90,0.1053,0.8247,0.0700,96.2320,-310.8880
91,0.1040,0.8273,0.0687,96.1440,-311.4520
92,0.1053,0.8240,0.0707,95.8200,-311.2200
93,0.1053,0.8220,0.0727,96.1160,-311.7120
94,0.1067,0.8200,0.0733,96.5720,-311.1920
95,0.1067,0.8167,0.0767,96.9440,-311.8440
96,0.1093,0.8133,0.0773,96.9520,-312.0840
97,0.1093,0.8173,0.0733,96.6240,-311.1080
98,0.1087,0.8200,0.0713,96.3960,-311.1200
99,0.1067,0.8213,0.0720,96.7640,-311.7480
100,0.1060,0.8207,0.0733,96.6720,-312.5840
101,0.1053,0.8260,0.0687,96.0920,-312.1960
102,0.1067,0.8233,0.0700,95.9760,-312.5680
103,0.1053,0.8273,0.0673,95.2080,-313.2280
104,0.1053,0.8273,0.0673,95.5440,-312.5080
105,0.1053,0.8300,0.0647,95.5800,-312.6960
106,0.1087,0.8280,0.0633,95.9600,-312.0600
107,0.1087,0.8267,0.0647,95.9960,-312.9560
108,0.1053,0.8307,0.0640,95.3240,-313.3160
109,0.1047,0.8273,0.0680,95.3400,-313.3040
110,0.1020,0.8307,0.0673,95.0960,-312.9400
111,0.1007,0.8347,0.0647,95.2240,-312.3080
112,0.1053,0.8313,0.0633,95.0360,-311.3000
113,0.1073,0.8333,0.0593,94.9960,-311.3000
114,0.1093,0.8313,0.0593,95.2640,-310.6400
115,0.1100,0.8293,0.0607,95.4360,-310.5600
116,0.1113,0.8253,0.0633,95.7760,-309.5320
117,0.1100,0.8280,0.0620,95.9840,-309.2480
118,0.1067,0.8300,0.0633,95.6840,-309.6000
119,0.1033,0.8347,0.0620,94.9640,-309.9640
120,0.1053,0.8333,0.0613,95.0480,-309.6520
121,0.1027,0.8340,0.0633,94.9320,-310.4480
122,0.1027,0.8327,0.0647,95.3920,-311.1520
123,0.1007,0.8347,0.0647,95.3200,-311.4880
124,0.1033,0.8340,0.0627,94.8120,-311.5040
125,0.1033,0.8367,0.0600,94.5960,-310.7960
126,0.1060,0.8347,0.0593,94.6480,-310.0800
127,0.1033,0.8360,0.0607,94.7040,-311.1240
128,0.1033,0.8340,0.0627,95.1440,-310.6640
129,0.1060,0.8313,0.0627,95.3240,-311.1120
130,0.1067,0.8300,0.0633,95.3840,-310.4960
131,0.1033,0.8347,0.0620,94.9240,-310.8040
132,0.1013,0.8373,0.0613,94.8840,-310.1480
133,0.1080,0.8293,0.0627,95.4080,-310.7600
134,0.1080,0.8313,0.0607,95.4440,-311.2480
135,0.1087,0.8300,0.0613,95.2080,-310.9040
136,0.1100,0.8267,0.0633,95.2400,-310.6240
137,0.1047,0.8340,0.0613,95.1160,-311.4600
138,0.1040,0.8280,0.0680,95.5480,-311.8920
139,0.1080,0.8220,0.0700,95.7720,-310.7800
