Idx,ActionNr,Rescued
1,5682.0000,
2,11365.0000,
3,17047.0000,
4,22730.0000,
5,28412.0000,
6,34094.0000,
7,39777.0000,
8,45459.0000,
9,51142.0000,
10,56824.0000,
11,62506.0000,
12,68189.0000,
13,73871.0000,
14,79553.0000,
15,85236.0000,
16,90918.0000,
17,96601.0000,
18,102283.0000,208.6000
19,107965.0000,232.8000
20,113648.0000,255.7000
21,119330.0000,280.4000
22,125013.0000,304.9000
23,130695.0000,330.0000
24,136377.0000,358.8000
25,142060.0000,393.1000
26,147742.0000,432.9000
27,153425.0000,471.2000
28,159107.0000,511.9000
29,164789.0000,560.4000
30,170472.0000,611.8000
31,176154.0000,658.6000
32,181836.0000,708.6000
33,187519.0000,757.8000
34,193201.0000,805.6000
35,198884.0000,858.0000
36,204566.0000,910.7000
37,210248.0000,963.3000
38,215931.0000,1014.1000
39,221613.0000,1064.1000
40,227296.0000,1121.6000
41,232978.0000,1182.8000
42,238660.0000,1245.7000
43,244343.0000,1313.2000
44,250025.0000,1385.0000
45,255708.0000,1456.5000
46,261390.0000,1533.8000
47,267072.0000,1613.2000
48,272755.0000,1693.1000
49,278437.0000,1778.2000
50,284120.0000,1861.9000
51,289802.0000,1956.3000
52,295484.0000,2054.9000
53,301167.0000,2160.3000
54,306849.0000,2267.9000
55,312531.0000,2378.2000
56,318214.0000,2489.8000
57,323896.0000,2600.9000
58,329579.0000,2709.3000
59,335261.0000,2819.0000
60,340943.0000,2925.7000
61,346626.0000,3040.8000
62,352308.0000,3156.5000
63,357991.0000,3277.5000
64,363673.0000,3395.7000
65,369355.0000,3519.7000
66,375038.0000,3646.0000
67,380720.0000,3770.7000
68,386403.0000,3892.0000
69,392085.0000,4023.8000
70,397767.0000,4157.9000
71,403450.0000,4295.1000
72,409132.0000,4426.0000
73,414814.0000,4557.2000
74,420497.0000,4694.5000
75,426179.0000,4831.2000
76,431862.0000,4974.5000
77,437544.0000,5115.8000
78,443226.0000,5262.5000
79,448909.0000,5406.8000
80,454591.0000,5556.8000
81,460274.0000,5709.1000
82,465956.0000,5860.6000
83,471638.0000,6019.4000
84,477321.0000,6175.9000
85,483003.0000,6340.7000
86,488686.0000,6512.5000
87,494368.0000,6685.7000
88,500050.0000,6860.5000
89,505733.0000,7034.9000
90,511415.0000,7209.7000
91,517097.0000,7384.5000
92,522780.0000,7568.3000
93,528462.0000,7748.3000
94,534145.0000,7928.6000
95,539827.0000,8106.3000
96,545509.0000,8287.7000
97,551192.0000,8468.7000
98,556874.0000,8655.9000
99,562557.0000,8843.7000
100,568239.0000,9023.2000
101,573921.0000,9206.0000
102,579604.0000,9386.7000
103,585286.0000,9568.6000
104,590969.0000,9748.9000
105,596651.0000,9924.9000
106,602333.0000,10103.2000
107,608016.0000,10279.4000
108,613698.0000,10459.8000
109,619381.0000,10639.0000
110,625063.0000,10818.0000
111,630745.0000,10994.0000
112,636428.0000,11172.7000
113,642110.0000,11352.9000
114,647792.0000,11534.8000
115,653475.0000,11720.0000
116,659157.0000,11910.2000
117,664840.0000,12096.4000
118,670522.0000,12286.7000
119,676204.0000,12469.4000
120,681887.0000,12659.6000
121,687569.0000,12861.3000
122,693252.0000,13061.8000
123,698934.0000,13264.1000
124,704616.0000,13464.7000
125,710299.0000,13669.1000
126,715981.0000,13871.0000
127,721664.0000,14074.7000
128,727346.0000,14281.0000
129,733028.0000,14484.7000
130,738711.0000,14688.5000
131,744393.0000,14886.5000
132,750075.0000,15095.8000
133,755758.0000,15297.8000
134,761440.0000,15505.0000
135,767123.0000,15711.0000
136,772805.0000,15917.3000
137,778487.0000,16120.9000
138,784170.0000,16322.4000
139,789852.0000,16522.3000
140,795535.0000,16707.9000
141,801217.0000,16892.9000
142,806899.0000,17075.0000
143,812582.0000,17259.6000
144,818264.0000,17447.6000
145,823947.0000,17632.2000
146,829629.0000,17817.0000
147,835311.0000,17997.7000
148,840994.0000,18184.8000
149,846676.0000,18371.9000
150,852358.0000,18558.1000
151,858041.0000,18736.0000
152,863723.0000,18917.9000
153,869406.0000,19102.4000
154,875088.0000,19289.5000
155,880770.0000,19465.9000
156,886453.0000,19628.4000
157,892135.0000,19788.5000
158,897818.0000,19947.2000
159,903500.0000,20104.8000
160,909182.0000,20255.3000
161,914865.0000,20392.9000
162,920547.0000,20511.5000
163,926230.0000,20624.3000
164,931912.0000,20740.2000
165,937594.0000,20856.1000
166,943277.0000,20974.0000
167,948959.0000,21089.1000
168,954642.0000,21204.2000
169,960324.0000,21321.6000
170,966006.0000,21435.0000
171,971689.0000,21552.6000
172,977371.0000,21671.3000
173,983053.0000,21786.1000
174,988736.0000,21903.2000
175,994418.0000,22018.5000
176,1000101.0000,22136.3000
177,1005783.0000,22247.9000
178,1011465.0000,22333.1000
179,1017148.0000,22402.7000
180,1022830.0000,22474.4000
181,1028513.0000,22531.5000
182,1034195.0000,22586.8000
183,1039877.0000,22638.6000
184,1045560.0000,22694.3000
185,1051242.0000,22750.5000
186,1056925.0000,22797.4000
187,1062607.0000,22814.4000
188,1068289.0000,22831.9000
189,1073972.0000,22852.0000
190,1079654.0000,22871.3000
191,1085336.0000,22890.2000
192,1091019.0000,22907.6000
193,1096701.0000,22925.2000
194,1102384.0000,22944.1000
195,1108066.0000,22962.6000
196,1113748.0000,22981.7000
197,1119431.0000,22999.8000
198,1125113.0000,23018.0000
199,1130796.0000,23036.7000
200,1136478.0000,23053.4000
