EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,1.0000,0.0000,19.1000,-808.7000
2,0.0000,1.0000,0.0000,24.3000,-813.4500
3,0.0000,1.0000,0.0000,32.4333,-820.6333
4,0.0000,0.9833,0.0167,53.0250,-836.0500
5,0.0033,0.9567,0.0400,72.1800,-844.8800
6,0.0056,0.9167,0.0778,104.9333,-865.4333
7,0.0095,0.8714,0.1190,137.5429,-891.3857
8,0.0104,0.8354,0.1542,164.7875,-913.7625
9,0.0111,0.8093,0.1796,188.2222,-932.4778
10,0.0117,0.7983,0.1900,201.5900,-942.3500
11,0.0106,0.7894,0.2000,213.0909,-955.0636
12,0.0111,0.7792,0.2097,225.8167,-963.9083
13,0.0103,0.7705,0.2192,235.0231,-972.1385
14,0.0095,0.7643,0.2262,243.2286,-979.2643
15,0.0089,0.7600,0.2311,247.8867,-983.2933
16,0.0083,0.7573,0.2344,250.9625,-986.0375
17,0.0078,0.7539,0.2382,253.8529,-988.8882
18,0.0074,0.7546,0.2380,254.4000,-989.4889
19,0.0070,0.7544,0.2386,256.4211,-992.3158
20,0.0067,0.7517,0.2417,257.3450,-992.4300
21,0.0063,0.7516,0.2421,257.4095,-992.2095
22,0.0068,0.7500,0.2432,257.9273,-992.2500
23,0.0072,0.7471,0.2457,259.6696,-993.3826
24,0.0076,0.7472,0.2451,259.9583,-992.5625
25,0.0080,0.7480,0.2440,260.0400,-992.0560
26,0.0080,0.7373,0.2547,269.2920,-998.5080
27,0.0080,0.7287,0.2633,278.3120,-1003.9200
28,0.0080,0.7180,0.2740,286.8320,-1009.9760
29,0.0080,0.7140,0.2780,290.9200,-1012.1840
30,0.0073,0.7093,0.2833,295.0760,-1017.0360
31,0.0067,0.7120,0.2813,293.5680,-1017.0160
32,0.0053,0.7180,0.2767,289.1120,-1013.8880
33,0.0047,0.7287,0.2667,281.6560,-1007.0720
34,0.0040,0.7367,0.2593,274.1520,-1001.3640
35,0.0033,0.7413,0.2553,269.3880,-997.4320
36,0.0033,0.7473,0.2493,263.3240,-991.3320
37,0.0027,0.7520,0.2453,257.0720,-986.8080
38,0.0027,0.7573,0.2400,250.6000,-981.3320
39,0.0027,0.7653,0.2320,244.0560,-975.9240
40,0.0027,0.7700,0.2273,238.6840,-971.1560
41,0.0027,0.7727,0.2247,234.8320,-967.7320
42,0.0027,0.7773,0.2200,230.7320,-964.2560
43,0.0027,0.7807,0.2167,226.5640,-961.1240
44,0.0027,0.7820,0.2153,223.2160,-957.0520
45,0.0027,0.7893,0.2080,218.4640,-953.2640
46,0.0027,0.7927,0.2047,214.8240,-950.0960
47,0.0020,0.7973,0.2007,210.0480,-945.7920
48,0.0013,0.8027,0.1960,204.9520,-941.7800
49,0.0007,0.8060,0.1933,201.1680,-939.6560
50,0.0000,0.8087,0.1913,197.0520,-936.1920
51,0.0000,0.8133,0.1867,193.0720,-933.7720
52,0.0000,0.8153,0.1847,188.8920,-931.4520
53,0.0000,0.8227,0.1773,183.6160,-926.9520
54,0.0000,0.8247,0.1753,180.2360,-924.7640
55,0.0000,0.8320,0.1680,175.7440,-920.4800
56,0.0000,0.8380,0.1620,171.1240,-916.6920
57,0.0000,0.8440,0.1560,168.1040,-913.5200
58,0.0000,0.8427,0.1573,167.9600,-913.4840
59,0.0000,0.8433,0.1567,167.0440,-911.8360
60,0.0000,0.8420,0.1580,165.3120,-910.3040
61,0.0000,0.8427,0.1573,164.1320,-908.9800
62,0.0000,0.8460,0.1540,161.6360,-906.4320
63,0.0000,0.8467,0.1533,161.1080,-905.5560
64,0.0000,0.8440,0.1560,160.7120,-904.5840
65,0.0000,0.8440,0.1560,159.6400,-903.2160
66,0.0000,0.8453,0.1547,158.1240,-901.9560
67,0.0000,0.8467,0.1533,155.7160,-899.8400
68,0.0000,0.8460,0.1540,156.0400,-899.7640
69,0.0000,0.8480,0.1520,153.3240,-897.9720
70,0.0000,0.8467,0.1533,153.6280,-898.0600
71,0.0000,0.8447,0.1553,153.5520,-897.3800
72,0.0000,0.8433,0.1567,154.0200,-897.9080
73,0.0000,0.8433,0.1567,153.7840,-897.3720
74,0.0000,0.8440,0.1560,153.0080,-896.1600
75,0.0000,0.8447,0.1553,152.2720,-895.7960
76,0.0000,0.8453,0.1547,152.4920,-895.1240
77,0.0000,0.8460,0.1540,152.5440,-895.1320
78,0.0000,0.8453,0.1547,152.5200,-895.6560
79,0.0000,0.8447,0.1553,153.1600,-895.8640
80,0.0000,0.8433,0.1567,152.9680,-895.3280
81,0.0007,0.8407,0.1587,153.6880,-895.2480
82,0.0007,0.8360,0.1633,154.7520,-895.9240
83,0.0007,0.8373,0.1620,153.8680,-895.1840
84,0.0007,0.8393,0.1600,152.5800,-894.3560
85,0.0007,0.8440,0.1553,151.0720,-893.8960
86,0.0007,0.8420,0.1573,150.9880,-893.2040
87,0.0007,0.8400,0.1593,151.7960,-894.0480
88,0.0007,0.8427,0.1567,150.3440,-892.9560
89,0.0007,0.8447,0.1547,148.5520,-891.0560
90,0.0007,0.8467,0.1527,148.8360,-891.5160
91,0.0007,0.8480,0.1513,148.1760,-890.6280
92,0.0007,0.8493,0.1500,148.4800,-890.6840
93,0.0007,0.8500,0.1493,147.7520,-889.4880
94,0.0007,0.8493,0.1500,148.5400,-889.6920
95,0.0007,0.8467,0.1527,148.5240,-889.1720
96,0.0007,0.8493,0.1500,147.7160,-888.7920
97,0.0007,0.8507,0.1487,147.8200,-888.7520
98,0.0007,0.8520,0.1473,146.7800,-887.8880
99,0.0007,0.8507,0.1487,146.9720,-888.4560
100,0.0007,0.8500,0.1493,147.7520,-888.8160
101,0.0007,0.8493,0.1500,147.5800,-889.4840
102,0.0007,0.8500,0.1493,146.2640,-888.3600
103,0.0007,0.8460,0.1533,147.4200,-889.0080
104,0.0007,0.8433,0.1560,148.0200,-889.3640
105,0.0007,0.8407,0.1587,148.6280,-889.1880
106,0.0000,0.8407,0.1593,149.4160,-889.7800
107,0.0000,0.8440,0.1560,148.3040,-888.4840
108,0.0000,0.8447,0.1553,148.5040,-889.6000
109,0.0000,0.8460,0.1540,147.8280,-889.1080
110,0.0000,0.8447,0.1553,148.2440,-888.8920
111,0.0000,0.8460,0.1540,148.1760,-888.7480
112,0.0000,0.8480,0.1520,146.7480,-887.1360
113,0.0000,0.8473,0.1527,147.4040,-887.5680
114,0.0000,0.8460,0.1540,147.9600,-888.1400
115,0.0000,0.8447,0.1553,147.9160,-887.8880
116,0.0000,0.8453,0.1547,147.7440,-887.9800
117,0.0000,0.8447,0.1553,146.9720,-887.2200
118,0.0000,0.8440,0.1560,147.2760,-887.6200
119,0.0000,0.8453,0.1547,146.4280,-887.2240
120,0.0000,0.8467,0.1533,146.3120,-887.7160
121,0.0000,0.8447,0.1553,147.0760,-888.3560
122,0.0000,0.8447,0.1553,146.6880,-887.6960
123,0.0000,0.8447,0.1553,145.7240,-886.8400
124,0.0000,0.8467,0.1533,144.9520,-886.0600
125,0.0000,0.8473,0.1527,143.7320,-885.1560
126,0.0000,0.8473,0.1527,143.7240,-884.6080
127,0.0000,0.8480,0.1520,144.0720,-885.1800
128,0.0000,0.8500,0.1500,143.1600,-884.1040
129,0.0000,0.8520,0.1480,142.1800,-882.7400
