EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.0000,0.0000,0.0000,3.1448,3.1321
2,0.0000,0.0000,0.0000,11.6280,11.5118
3,0.0000,0.0000,0.0000,12.0047,11.5993
4,0.0000,0.0204,0.0204,17.4734,12.3181
5,0.0100,0.0300,0.0249,22.4984,20.2440
6,0.0111,0.0430,0.0427,31.0755,29.3252
7,0.0190,0.0429,0.0488,35.5296,37.3838
8,0.0213,0.0461,0.0495,31.3451,32.8703
9,0.0237,0.0531,0.0568,28.6673,36.3076
10,0.0259,0.0656,0.0692,33.4104,41.9862
11,0.0235,0.0604,0.0605,28.7868,37.1361
12,0.0255,0.0644,0.0656,28.2849,40.7529
13,0.0235,0.0670,0.0679,30.5538,40.7645
14,0.0218,0.0683,0.0678,31.3454,39.8784
15,0.0204,0.0710,0.0702,33.0948,39.2072
16,0.0191,0.0711,0.0707,35.8382,40.5419
17,0.0180,0.0734,0.0739,37.0895,41.7797
18,0.0170,0.0767,0.0777,37.5490,43.2643
19,0.0161,0.0736,0.0749,35.2497,40.7591
20,0.0153,0.0731,0.0747,34.9454,40.5132
21,0.0145,0.0711,0.0722,33.1938,38.5977
22,0.0146,0.0670,0.0683,31.9163,37.5948
23,0.0149,0.0672,0.0692,32.5648,37.9657
24,0.0154,0.0659,0.0679,33.7813,38.3437
25,0.0163,0.0637,0.0665,33.2731,38.6402
26,0.0163,0.0630,0.0658,33.1085,38.9315
27,0.0163,0.0630,0.0663,33.6612,40.6880
28,0.0163,0.0649,0.0687,35.2253,42.8485
29,0.0163,0.0644,0.0688,36.3616,44.6161
30,0.0147,0.0647,0.0692,36.2132,43.2974
31,0.0137,0.0611,0.0651,36.0732,43.0698
32,0.0111,0.0591,0.0615,33.3754,40.1457
33,0.0095,0.0558,0.0583,32.6922,40.2309
34,0.0080,0.0502,0.0526,30.3985,37.1321
35,0.0068,0.0420,0.0440,27.3436,34.8758
36,0.0068,0.0416,0.0441,24.1357,31.4494
37,0.0061,0.0380,0.0400,23.7587,31.9340
38,0.0061,0.0335,0.0357,20.9014,29.9498
39,0.0061,0.0308,0.0334,19.4735,29.1388
40,0.0061,0.0301,0.0333,18.3639,28.4893
41,0.0061,0.0306,0.0341,17.9710,28.2250
42,0.0061,0.0294,0.0324,19.8702,28.0045
43,0.0061,0.0299,0.0324,23.0421,29.3193
44,0.0061,0.0316,0.0335,23.1959,28.0641
45,0.0061,0.0341,0.0359,25.7349,28.2918
46,0.0061,0.0380,0.0397,27.7525,28.8395
47,0.0043,0.0370,0.0378,29.2081,29.9341
48,0.0027,0.0411,0.0408,32.9611,31.7917
49,0.0020,0.0480,0.0470,35.6274,34.1720
50,0.0000,0.0506,0.0506,36.5563,36.0631
51,0.0000,0.0471,0.0471,35.9776,35.0942
52,0.0000,0.0479,0.0479,37.2579,36.7099
53,0.0000,0.0468,0.0468,38.5937,37.9906
54,0.0000,0.0477,0.0477,39.7858,40.6086
55,0.0000,0.0519,0.0519,40.7338,40.9385
56,0.0000,0.0547,0.0547,41.0939,42.0560
57,0.0000,0.0534,0.0534,42.5993,43.8857
58,0.0000,0.0515,0.0515,43.1943,45.5088
59,0.0000,0.0527,0.0527,44.9091,46.9408
60,0.0000,0.0525,0.0525,45.0824,46.9620
61,0.0000,0.0546,0.0546,45.0506,47.8297
62,0.0000,0.0544,0.0544,44.6228,46.9353
63,0.0000,0.0532,0.0532,43.4919,46.9451
64,0.0000,0.0526,0.0526,42.1775,45.9496
65,0.0000,0.0528,0.0528,41.1359,44.2018
66,0.0000,0.0541,0.0541,41.4858,45.1848
67,0.0000,0.0560,0.0560,40.9214,44.7374
68,0.0000,0.0585,0.0585,40.0152,43.3202
69,0.0000,0.0570,0.0570,40.8409,44.6355
70,0.0000,0.0587,0.0587,42.2534,45.5588
71,0.0000,0.0576,0.0576,43.3346,46.9085
72,0.0000,0.0612,0.0612,44.8503,47.8577
73,0.0000,0.0627,0.0627,44.8265,48.1938
74,0.0000,0.0609,0.0609,45.6474,49.0977
75,0.0000,0.0625,0.0625,45.2628,47.8968
