Idx,ActionNr,Rescued
1,161307.0000,
2,322614.0000,
3,483922.0000,
4,645229.0000,9.6000
5,806536.0000,21.8000
6,967843.0000,40.0000
7,1129150.0000,66.2000
8,1290458.0000,108.4000
9,1451765.0000,171.2000
10,1613072.0000,252.4000
11,1774379.0000,351.8000
12,1935687.0000,468.6000
13,2096994.0000,619.0000
14,2258301.0000,788.2000
15,2419608.0000,982.8000
16,2580915.0000,1188.2000
17,2742223.0000,1401.4000
18,2903530.0000,1623.2000
19,3064837.0000,1864.0000
20,3226144.0000,2148.6000
21,3387451.0000,2459.4000
22,3548759.0000,2782.2000
23,3710066.0000,3118.0000
24,3871373.0000,3472.8000
25,4032680.0000,3857.8000
26,4193987.0000,4278.6000
27,4355295.0000,4743.2000
28,4516602.0000,5254.8000
29,4677909.0000,5805.6000
30,4839216.0000,6372.4000
31,5000524.0000,6983.2000
32,5161831.0000,7627.4000
33,5323138.0000,8295.4000
34,5484445.0000,8980.8000
35,5645752.0000,9697.6000
36,5807060.0000,10447.8000
37,5968367.0000,11236.0000
38,6129674.0000,12078.6000
39,6290981.0000,12959.2000
40,6452288.0000,13875.6000
41,6613596.0000,14849.2000
42,6774903.0000,15874.6000
43,6936210.0000,16934.2000
44,7097517.0000,18064.0000
45,7258824.0000,19255.8000
46,7420132.0000,20520.4000
47,7581439.0000,21923.2000
48,7742746.0000,23403.6000
49,7904053.0000,24957.8000
50,8065360.0000,26637.4000
51,8226668.0000,28382.2000
52,8387975.0000,30199.0000
53,8549282.0000,32069.6000
54,8710589.0000,34002.4000
55,8871897.0000,36033.0000
56,9033204.0000,38143.0000
57,9194511.0000,40432.0000
58,9355818.0000,42867.4000
59,9517125.0000,45465.4000
60,9678433.0000,48264.0000
61,9839740.0000,51224.4000
62,10001047.0000,54320.2000
63,10162354.0000,57542.6000
64,10323661.0000,60906.2000
65,10484969.0000,64565.8000
66,10646276.0000,68542.8000
67,10807583.0000,72697.6000
68,10968890.0000,77086.2000
69,11130197.0000,81764.2000
70,11291505.0000,86760.8000
71,11452812.0000,92016.4000
72,11614119.0000,97715.6000
73,11775426.0000,103678.8000
74,11936734.0000,109938.8000
75,12098041.0000,116680.4000
76,12259348.0000,123770.4000
77,12420655.0000,131421.4000
78,12581962.0000,139682.6000
79,12743270.0000,148213.0000
80,12904577.0000,156971.8000
81,13065884.0000,166098.2000
82,13227191.0000,175741.0000
83,13388498.0000,185601.4000
84,13549806.0000,195531.6000
85,13711113.0000,205849.2000
86,13872420.0000,216598.0000
87,14033727.0000,227639.4000
88,14195034.0000,238966.2000
89,14356342.0000,250429.8000
90,14517649.0000,262169.2000
91,14678956.0000,274061.2000
92,14840263.0000,283500.2000
93,15001571.0000,293383.6000
94,15162878.0000,303523.4000
95,15324185.0000,313682.0000
96,15485492.0000,323008.8000
97,15646799.0000,328037.2000
98,15808107.0000,333055.6000
99,15969414.0000,336050.0000
100,16130721.0000,338680.4000
