Idx,ActionNr,Rescued
1,2284.0000,
2,4569.0000,
3,6853.0000,
4,9137.0000,
5,11422.0000,
6,13706.0000,
7,15990.0000,
8,18275.0000,
9,20559.0000,121.4000
10,22843.0000,161.9000
11,25128.0000,201.9000
12,27412.0000,243.4000
13,29696.0000,284.8000
14,31981.0000,326.6000
15,34265.0000,370.6000
16,36549.0000,417.8000
17,38834.0000,468.8000
18,41118.0000,525.6000
19,43402.0000,588.8000
20,45687.0000,659.9000
21,47971.0000,734.4000
22,50255.0000,815.6000
23,52540.0000,900.1000
24,54824.0000,988.4000
25,57108.0000,1082.2000
26,59393.0000,1180.8000
27,61677.0000,1282.6000
28,63961.0000,1389.3000
29,66246.0000,1497.7000
30,68530.0000,1605.0000
31,70814.0000,1721.3000
32,73099.0000,1847.6000
33,75383.0000,1979.8000
34,77667.0000,2115.8000
35,79952.0000,2254.1000
36,82236.0000,2393.2000
37,84520.0000,2536.8000
38,86805.0000,2681.8000
39,89089.0000,2836.1000
40,91373.0000,2997.2000
41,93658.0000,3164.3000
42,95942.0000,3333.0000
43,98226.0000,3510.3000
44,100511.0000,3697.2000
45,102795.0000,3887.5000
46,105079.0000,4086.8000
47,107364.0000,4286.6000
48,109648.0000,4484.0000
49,111932.0000,4693.5000
50,114216.0000,4916.0000
51,116501.0000,5142.4000
52,118785.0000,5376.3000
53,121069.0000,5619.8000
54,123354.0000,5871.8000
55,125638.0000,6124.4000
56,127922.0000,6384.6000
57,130207.0000,6652.7000
58,132491.0000,6924.2000
59,134775.0000,7204.4000
60,137060.0000,7484.7000
61,139344.0000,7767.7000
62,141628.0000,8058.2000
63,143913.0000,8353.0000
64,146197.0000,8655.0000
65,148481.0000,8960.0000
66,150766.0000,9268.2000
67,153050.0000,9574.4000
68,155334.0000,9882.8000
69,157619.0000,10194.5000
70,159903.0000,10511.4000
71,162187.0000,10835.2000
72,164472.0000,11161.1000
73,166756.0000,11486.2000
74,169040.0000,11816.1000
75,171325.0000,12149.3000
76,173609.0000,12487.7000
77,175893.0000,12829.3000
78,178178.0000,13171.0000
79,180462.0000,13510.4000
80,182746.0000,13852.6000
81,185031.0000,14194.4000
82,187315.0000,14533.1000
83,189599.0000,14867.1000
84,191884.0000,15206.1000
85,194168.0000,15548.4000
86,196452.0000,15892.8000
87,198737.0000,16226.5000
88,201021.0000,16535.3000
89,203305.0000,16842.5000
90,205590.0000,17153.6000
91,207874.0000,17466.6000
92,210158.0000,17748.3000
93,212443.0000,17992.9000
94,214727.0000,18206.5000
95,217011.0000,18405.4000
96,219296.0000,18546.2000
97,221580.0000,18685.8000
98,223864.0000,18791.4000
99,226149.0000,18893.6000
100,228433.0000,18948.1000
