Idx,ActionNr,Rescued
1,1367.0000,4.5000
2,2734.0000,11.2000
3,4102.0000,21.4000
4,5469.0000,41.7000
5,6836.0000,71.7000
6,8203.0000,109.9000
7,9570.0000,151.0000
8,10937.0000,197.1000
9,12305.0000,241.9000
10,13672.0000,290.0000
11,15039.0000,343.5000
12,16406.0000,400.6000
13,17773.0000,462.4000
14,19140.0000,531.5000
15,20508.0000,603.8000
16,21875.0000,678.6000
17,23242.0000,757.6000
18,24609.0000,840.5000
19,25976.0000,925.7000
20,27343.0000,1015.4000
21,28711.0000,1113.7000
22,30078.0000,1215.9000
23,31445.0000,1319.9000
24,32812.0000,1423.5000
25,34179.0000,1534.3000
26,35546.0000,1643.9000
27,36914.0000,1753.3000
28,38281.0000,1866.7000
29,39648.0000,1986.6000
30,41015.0000,2107.9000
31,42382.0000,2231.3000
32,43749.0000,2354.4000
33,45117.0000,2482.5000
34,46484.0000,2613.2000
35,47851.0000,2742.9000
36,49218.0000,2872.8000
37,50585.0000,3005.7000
38,51952.0000,3144.7000
39,53320.0000,3283.7000
40,54687.0000,3430.6000
41,56054.0000,3579.0000
42,57421.0000,3729.5000
43,58788.0000,3881.2000
44,60155.0000,4035.1000
45,61523.0000,4191.8000
46,62890.0000,4347.9000
47,64257.0000,4508.3000
48,65624.0000,4669.2000
49,66991.0000,4832.1000
50,68358.0000,4999.5000
51,69726.0000,5169.8000
52,71093.0000,5341.5000
53,72460.0000,5512.4000
54,73827.0000,5682.3000
55,75194.0000,5853.2000
56,76562.0000,6023.5000
57,77929.0000,6192.3000
58,79296.0000,6365.3000
59,80663.0000,6538.0000
60,82030.0000,6710.5000
61,83397.0000,6886.2000
62,84765.0000,7060.2000
63,86132.0000,7236.4000
64,87499.0000,7417.7000
65,88866.0000,7599.7000
66,90233.0000,7781.3000
67,91600.0000,7963.0000
68,92968.0000,8147.1000
69,94335.0000,8329.9000
70,95702.0000,8511.3000
71,97069.0000,8694.2000
72,98436.0000,8876.7000
73,99803.0000,9057.9000
74,101171.0000,9241.4000
75,102538.0000,9423.6000
76,103905.0000,9606.2000
77,105272.0000,9789.9000
78,106639.0000,9973.6000
79,108006.0000,10157.6000
80,109374.0000,10341.2000
81,110741.0000,10524.7000
82,112108.0000,10707.8000
83,113475.0000,10890.9000
84,114842.0000,11073.4000
85,116209.0000,11256.7000
86,117577.0000,11440.9000
87,118944.0000,11626.8000
88,120311.0000,11812.5000
89,121678.0000,11999.2000
90,123045.0000,12184.7000
91,124412.0000,12369.9000
92,125780.0000,12556.9000
93,127147.0000,12743.7000
94,128514.0000,12929.4000
95,129881.0000,13093.7000
96,131248.0000,13228.5000
97,132615.0000,13340.8000
98,133983.0000,13395.5000
99,135350.0000,13414.0000
100,136717.0000,13432.5000
