EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.26,0.59,0.15,4065,-8061.0
2,0.19,0.68,0.13,3532,-7906.0
3,0.16,0.71,0.13,3496,-8032.0
4,0.18,0.65,0.17,3820,-8248.0
5,0.22,0.66,0.12,3894,-8106.0
6,0.2,0.66,0.14,3935,-8255.0
7,0.16,0.7,0.14,3761,-8297.0
8,0.23,0.66,0.11,3651,-7809.0
9,0.22,0.67,0.11,3643,-7855.0
10,0.22,0.61,0.17,3965,-8177.0
11,0.22,0.64,0.14,4103,-8315.0
12,0.21,0.64,0.15,3776,-8042.0
13,0.15,0.7,0.15,3426,-8016.0
14,0.17,0.66,0.17,3907,-8389.0
15,0.1,0.75,0.15,3395,-8255.0
16,0.15,0.7,0.15,3603,-8193.0
17,0.24,0.67,0.09,3594,-7698.0
18,0.18,0.67,0.15,3890,-8318.0
19,0.15,0.77,0.08,3442,-8032.0
20,0.2,0.64,0.16,3920,-8240.0
21,0.15,0.66,0.19,3940,-8530.0
22,0.16,0.69,0.15,3852,-8388.0
23,0.16,0.65,0.19,3825,-8361.0
24,0.19,0.67,0.14,3665,-8039.0
25,0.13,0.72,0.15,3525,-8223.0
26,0.2,0.72,0.08,3512,-7832.0
27,0.16,0.68,0.16,3792,-8328.0
28,0.17,0.65,0.18,3592,-8074.0
29,0.26,0.55,0.19,4517,-8513.0
30,0.21,0.64,0.15,3910,-8176.0
31,0.16,0.71,0.13,3630,-8166.0
32,0.17,0.73,0.1,3496,-7978.0
33,0.18,0.68,0.14,3676,-8104.0
34,0.14,0.71,0.15,3805,-8449.0
35,0.17,0.64,0.19,3824,-8306.0
36,0.12,0.71,0.17,3755,-8507.0
37,0.18,0.66,0.16,3818,-8246.0
38,0.13,0.72,0.15,3652,-8350.0
39,0.24,0.63,0.13,3926,-8030.0
40,0.24,0.64,0.12,3754,-7858.0
41,0.11,0.72,0.17,3934,-8740.0
42,0.18,0.67,0.15,3781,-8209.0
43,0.15,0.66,0.19,3959,-8549.0
44,0.13,0.72,0.15,3682,-8380.0
45,0.2,0.67,0.13,3632,-7952.0
46,0.19,0.69,0.12,3561,-7935.0
47,0.15,0.77,0.08,3252,-7842.0
48,0.2,0.64,0.16,3668,-7988.0
49,0.15,0.7,0.15,3644,-8234.0
50,0.24,0.69,0.07,3566,-7670.0
51,0.13,0.73,0.14,3615,-8313.0
52,0.18,0.64,0.18,3991,-8419.0
53,0.16,0.69,0.15,3857,-8393.0
54,0.21,0.68,0.11,3567,-7833.0
55,0.14,0.72,0.14,3407,-8051.0
56,0.18,0.63,0.19,4346,-8774.0
57,0.2,0.63,0.17,4006,-8326.0
58,0.17,0.7,0.13,3675,-8157.0
59,0.14,0.75,0.11,3508,-8152.0
60,0.22,0.65,0.13,3760,-7972.0
61,0.16,0.65,0.19,3953,-8489.0
62,0.19,0.64,0.17,3648,-8022.0
63,0.26,0.59,0.15,3934,-7930.0
64,0.17,0.75,0.08,3519,-8001.0
65,0.17,0.7,0.13,3583,-8065.0
66,0.27,0.6,0.13,3832,-7774.0
67,0.15,0.73,0.12,3710,-8300.0
68,0.14,0.72,0.14,3371,-8015.0
69,0.18,0.66,0.16,3693,-8121.0
70,0.11,0.73,0.16,3589,-8395.0
71,0.15,0.71,0.14,3658,-8248.0
72,0.1,0.74,0.16,3659,-8519.0
73,0.18,0.67,0.15,3752,-8180.0
74,0.17,0.67,0.16,3715,-8197.0
75,0.14,0.67,0.19,3945,-8589.0
76,0.16,0.68,0.16,3693,-8229.0
77,0.2,0.64,0.16,3870,-8190.0
78,0.16,0.64,0.2,4206,-8742.0
79,0.15,0.69,0.16,3670,-8260.0
80,0.24,0.61,0.15,4088,-8192.0
81,0.16,0.73,0.11,3419,-7955.0
82,0.16,0.69,0.15,3944,-8480.0
83,0.25,0.67,0.08,3571,-7621.0
84,0.12,0.74,0.14,3376,-8128.0
85,0.21,0.7,0.09,3460,-7726.0
86,0.18,0.7,0.12,3742,-8170.0
87,0.24,0.64,0.12,4056,-8160.0
88,0.19,0.68,0.13,3530,-7904.0
89,0.19,0.62,0.19,3973,-8347.0
90,0.22,0.64,0.14,3759,-7971.0
91,0.16,0.67,0.17,4029,-8565.0
92,0.16,0.7,0.14,3449,-7985.0
93,0.13,0.7,0.17,3700,-8398.0
94,0.16,0.7,0.14,3517,-8053.0
95,0.17,0.71,0.12,3746,-8228.0
96,0.14,0.76,0.1,3154,-7798.0
97,0.22,0.64,0.14,3853,-8065.0
98,0.22,0.69,0.09,3566,-7778.0
99,0.18,0.61,0.21,4273,-8701.0
100,0.13,0.73,0.14,3441,-8139.0
101,0.15,0.65,0.2,4076,-8666.0
102,0.21,0.68,0.11,3847,-8113.0
103,0.2,0.68,0.12,3640,-7960.0
104,0.22,0.69,0.09,3588,-7800.0
105,0.19,0.7,0.11,3593,-7967.0
106,0.16,0.63,0.21,4256,-8792.0
107,0.21,0.65,0.14,3999,-8265.0
108,0.15,0.73,0.12,3392,-7982.0
109,0.19,0.64,0.17,3883,-8257.0
110,0.19,0.61,0.2,4257,-8631.0
111,0.21,0.68,0.11,3774,-8040.0
112,0.14,0.72,0.14,3334,-7978.0
113,0.24,0.58,0.18,4024,-8128.0
114,0.22,0.64,0.14,3926,-8138.0
115,0.14,0.69,0.17,3680,-8324.0
116,0.2,0.63,0.17,4073,-8393.0
117,0.3,0.53,0.17,4327,-8107.0
118,0.24,0.61,0.15,4139,-8243.0
119,0.16,0.74,0.1,3382,-7918.0
120,0.14,0.77,0.09,3229,-7873.0
121,0.2,0.61,0.19,3984,-8304.0
122,0.16,0.75,0.09,3280,-7816.0
123,0.17,0.61,0.22,4091,-8573.0
124,0.25,0.62,0.13,3919,-7969.0
125,0.15,0.7,0.15,3890,-8480.0
126,0.14,0.73,0.13,3609,-8253.0
127,0.18,0.7,0.12,3673,-8101.0
128,0.17,0.65,0.18,3949,-8431.0
129,0.18,0.65,0.17,3701,-8129.0
130,0.14,0.73,0.13,3420,-8064.0
131,0.15,0.69,0.16,3672,-8262.0
132,0.12,0.69,0.19,3906,-8658.0
133,0.21,0.66,0.13,3806,-8072.0
134,0.15,0.69,0.16,4122,-8712.0
135,0.16,0.7,0.14,3548,-8084.0
136,0.13,0.77,0.1,3312,-8010.0
137,0.21,0.64,0.15,3860,-8126.0
138,0.24,0.65,0.11,3523,-7627.0
139,0.09,0.79,0.12,3409,-8323.0
140,0.15,0.73,0.12,3749,-8339.0
141,0.17,0.72,0.11,3392,-7874.0
142,0.15,0.71,0.14,4045,-8635.0
143,0.11,0.71,0.18,3715,-8521.0
144,0.19,0.66,0.15,3790,-8164.0
145,0.13,0.71,0.16,3646,-8344.0
146,0.17,0.68,0.15,3934,-8416.0
147,0.16,0.69,0.15,3858,-8394.0
148,0.19,0.69,0.12,3576,-7950.0
149,0.19,0.66,0.15,3909,-8283.0
150,0.27,0.62,0.11,3816,-7758.0
151,0.21,0.71,0.08,3370,-7636.0
152,0.16,0.72,0.12,3519,-8055.0
153,0.17,0.71,0.12,3662,-8144.0
154,0.15,0.69,0.16,3858,-8448.0
155,0.21,0.63,0.16,3815,-8081.0
