EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.13,0.71,0.16,3623,-8321.0
2,0.21,0.66,0.13,3886,-8152.0
3,0.16,0.69,0.15,3913,-8449.0
4,0.18,0.71,0.11,3454,-7882.0
5,0.2,0.73,0.07,3105,-7425.0
6,0.13,0.7,0.17,3857,-8555.0
7,0.14,0.67,0.19,3910,-8554.0
8,0.19,0.66,0.15,3785,-8159.0
9,0.18,0.67,0.15,3938,-8366.0
10,0.12,0.78,0.1,3240,-7992.0
11,0.17,0.71,0.12,3692,-8174.0
12,0.13,0.69,0.18,3804,-8502.0
13,0.19,0.69,0.12,3607,-7981.0
14,0.2,0.64,0.16,3957,-8277.0
15,0.17,0.61,0.22,4281,-8763.0
16,0.16,0.7,0.14,3675,-8211.0
17,0.16,0.68,0.16,3839,-8375.0
18,0.14,0.66,0.2,3983,-8627.0
19,0.25,0.62,0.13,3856,-7906.0
20,0.11,0.7,0.19,3951,-8757.0
21,0.2,0.71,0.09,3497,-7817.0
22,0.09,0.76,0.15,3475,-8389.0
23,0.14,0.73,0.13,3603,-8247.0
24,0.19,0.67,0.14,3760,-8134.0
25,0.16,0.69,0.15,3633,-8169.0
26,0.14,0.74,0.12,3415,-8059.0
27,0.16,0.76,0.08,3316,-7852.0
28,0.2,0.63,0.17,3889,-8209.0
29,0.23,0.57,0.2,4302,-8460.0
30,0.15,0.71,0.14,3753,-8343.0
31,0.19,0.68,0.13,3678,-8052.0
32,0.14,0.75,0.11,3709,-8353.0
33,0.2,0.71,0.09,3468,-7788.0
34,0.16,0.73,0.11,3307,-7843.0
35,0.21,0.63,0.16,3856,-8122.0
36,0.2,0.64,0.16,3773,-8093.0
37,0.17,0.68,0.15,3616,-8098.0
38,0.18,0.73,0.09,3391,-7819.0
39,0.1,0.8,0.1,3162,-8022.0
40,0.17,0.7,0.13,3516,-7998.0
41,0.21,0.6,0.19,4071,-8337.0
42,0.15,0.71,0.14,3472,-8062.0
43,0.23,0.62,0.15,3930,-8088.0
44,0.15,0.65,0.2,3887,-8477.0
45,0.19,0.67,0.14,3901,-8275.0
46,0.2,0.58,0.22,4265,-8585.0
47,0.2,0.65,0.15,3889,-8209.0
48,0.18,0.7,0.12,3578,-8006.0
49,0.23,0.65,0.12,3929,-8087.0
50,0.18,0.64,0.18,3919,-8347.0
51,0.22,0.61,0.17,4011,-8223.0
52,0.23,0.63,0.14,4187,-8345.0
53,0.14,0.75,0.11,3658,-8302.0
54,0.12,0.66,0.22,3984,-8736.0
55,0.15,0.71,0.14,3649,-8239.0
56,0.19,0.67,0.14,3951,-8325.0
57,0.15,0.71,0.14,3413,-8003.0
58,0.16,0.68,0.16,3982,-8518.0
59,0.17,0.69,0.14,3731,-8213.0
60,0.14,0.73,0.13,3789,-8433.0
61,0.17,0.74,0.09,3273,-7755.0
62,0.18,0.71,0.11,3605,-8033.0
63,0.16,0.63,0.21,4048,-8584.0
64,0.17,0.66,0.17,3857,-8339.0
65,0.16,0.7,0.14,3679,-8215.0
66,0.15,0.71,0.14,3645,-8235.0
67,0.2,0.66,0.14,3856,-8176.0
68,0.19,0.69,0.12,3892,-8266.0
69,0.15,0.65,0.2,4023,-8613.0
70,0.19,0.64,0.17,3741,-8115.0
71,0.21,0.63,0.16,3871,-8137.0
72,0.19,0.64,0.17,3965,-8339.0
73,0.16,0.62,0.22,4297,-8833.0
74,0.14,0.75,0.11,3591,-8235.0
75,0.2,0.62,0.18,3887,-8207.0
76,0.2,0.61,0.19,4050,-8370.0
77,0.16,0.68,0.16,4026,-8562.0
78,0.19,0.69,0.12,3708,-8082.0
79,0.19,0.69,0.12,3677,-8051.0
80,0.13,0.71,0.16,3613,-8311.0
81,0.17,0.76,0.07,3162,-7644.0
82,0.11,0.7,0.19,3812,-8618.0
83,0.22,0.64,0.14,3753,-7965.0
84,0.2,0.68,0.12,3672,-7992.0
85,0.24,0.67,0.09,3605,-7709.0
86,0.2,0.6,0.2,3940,-8260.0
87,0.21,0.61,0.18,3992,-8258.0
88,0.16,0.71,0.13,3448,-7984.0
89,0.21,0.66,0.13,3935,-8201.0
90,0.21,0.63,0.16,4102,-8368.0
91,0.14,0.68,0.18,3941,-8585.0
92,0.19,0.64,0.17,3856,-8230.0
93,0.17,0.71,0.12,3738,-8220.0
94,0.1,0.75,0.15,3523,-8383.0
95,0.2,0.63,0.17,3864,-8184.0
96,0.16,0.7,0.14,3567,-8103.0
97,0.21,0.66,0.13,3740,-8006.0
98,0.23,0.62,0.15,3884,-8042.0
99,0.18,0.7,0.12,3666,-8094.0
100,0.2,0.66,0.14,3966,-8286.0
101,0.25,0.63,0.12,3852,-7902.0
102,0.18,0.65,0.17,3974,-8402.0
103,0.19,0.68,0.13,3834,-8208.0
104,0.2,0.65,0.15,3714,-8034.0
105,0.17,0.7,0.13,3551,-8033.0
106,0.13,0.75,0.12,3499,-8197.0
107,0.16,0.72,0.12,3510,-8046.0
108,0.21,0.66,0.13,3920,-8186.0
109,0.17,0.6,0.23,4335,-8817.0
110,0.16,0.72,0.12,3579,-8115.0
111,0.22,0.6,0.18,3865,-8077.0
112,0.17,0.69,0.14,3697,-8179.0
113,0.22,0.65,0.13,3857,-8069.0
114,0.21,0.66,0.13,3684,-7950.0
115,0.25,0.65,0.1,3686,-7736.0
116,0.12,0.76,0.12,3384,-8136.0
117,0.11,0.77,0.12,3397,-8203.0
118,0.2,0.57,0.23,4175,-8495.0
119,0.18,0.73,0.09,3473,-7901.0
120,0.17,0.69,0.14,3391,-7873.0
121,0.24,0.61,0.15,3752,-7856.0
122,0.14,0.71,0.15,3577,-8221.0
123,0.2,0.67,0.13,3671,-7991.0
124,0.21,0.63,0.16,3763,-8029.0
125,0.19,0.62,0.19,4000,-8374.0
126,0.14,0.63,0.23,4227,-8871.0
127,0.18,0.69,0.13,3727,-8155.0
128,0.16,0.7,0.14,3760,-8296.0
129,0.1,0.72,0.18,3619,-8479.0
130,0.16,0.66,0.18,3839,-8375.0
131,0.16,0.72,0.12,3501,-8037.0
132,0.15,0.71,0.14,3538,-8128.0
133,0.09,0.75,0.16,3412,-8326.0
134,0.15,0.73,0.12,3485,-8075.0
135,0.2,0.66,0.14,3718,-8038.0
136,0.2,0.71,0.09,3422,-7742.0
137,0.19,0.7,0.11,3670,-8044.0
138,0.18,0.68,0.14,3308,-7736.0
139,0.24,0.61,0.15,4028,-8132.0
140,0.12,0.68,0.2,3776,-8528.0
141,0.15,0.7,0.15,3662,-8252.0
142,0.14,0.74,0.12,3432,-8076.0
143,0.18,0.62,0.2,4152,-8580.0
144,0.16,0.69,0.15,3574,-8110.0
145,0.19,0.7,0.11,3540,-7914.0
146,0.24,0.6,0.16,4131,-8235.0
147,0.16,0.74,0.1,3762,-8298.0
148,0.2,0.59,0.21,4179,-8499.0
149,0.15,0.71,0.14,3588,-8178.0
150,0.19,0.62,0.19,4006,-8380.0
151,0.11,0.78,0.11,3392,-8198.0
152,0.17,0.69,0.14,3679,-8161.0
153,0.18,0.67,0.15,3688,-8116.0
154,0.14,0.76,0.1,3284,-7928.0
155,0.17,0.72,0.11,3757,-8239.0
156,0.18,0.63,0.19,3867,-8295.0
157,0.23,0.59,0.18,4314,-8472.0
158,0.14,0.71,0.15,3562,-8206.0
159,0.25,0.58,0.17,4051,-8101.0
160,0.15,0.76,0.09,3534,-8124.0
161,0.23,0.62,0.15,4041,-8199.0
162,0.14,0.65,0.21,3721,-8365.0
163,0.14,0.71,0.15,3514,-8158.0
164,0.17,0.69,0.14,3694,-8176.0
165,0.17,0.67,0.16,3883,-8365.0
166,0.22,0.65,0.13,3583,-7795.0
167,0.15,0.64,0.21,3899,-8489.0
168,0.18,0.72,0.1,3245,-7673.0
169,0.17,0.61,0.22,4306,-8788.0
170,0.14,0.67,0.19,3810,-8454.0
171,0.12,0.8,0.08,3415,-8167.0
172,0.18,0.67,0.15,3743,-8171.0
173,0.17,0.64,0.19,4110,-8592.0
174,0.17,0.65,0.18,3941,-8423.0
175,0.07,0.81,0.12,3491,-8513.0
176,0.22,0.68,0.1,3686,-7898.0
177,0.18,0.63,0.19,4157,-8585.0
178,0.18,0.67,0.15,3749,-8177.0
179,0.13,0.75,0.12,3679,-8377.0
180,0.21,0.67,0.12,3595,-7861.0
181,0.18,0.66,0.16,3774,-8202.0
182,0.21,0.6,0.19,4236,-8502.0
183,0.15,0.74,0.11,3457,-8047.0
184,0.19,0.69,0.12,3647,-8021.0
185,0.15,0.65,0.2,4055,-8645.0
186,0.17,0.67,0.16,3638,-8120.0
187,0.17,0.66,0.17,3484,-7966.0
188,0.15,0.71,0.14,3525,-8115.0
189,0.16,0.73,0.11,3560,-8096.0
190,0.22,0.65,0.13,4054,-8266.0
191,0.2,0.62,0.18,4008,-8328.0
192,0.2,0.64,0.16,3937,-8257.0
193,0.21,0.72,0.07,3416,-7682.0
194,0.18,0.68,0.14,3946,-8374.0
195,0.25,0.61,0.14,3818,-7868.0
196,0.18,0.66,0.16,3980,-8408.0
197,0.15,0.8,0.05,3204,-7794.0
198,0.18,0.66,0.16,3864,-8292.0
199,0.1,0.76,0.14,3437,-8297.0
200,0.21,0.58,0.21,4281,-8547.0
201,0.17,0.66,0.17,3924,-8406.0
202,0.18,0.74,0.08,3529,-7957.0
203,0.16,0.71,0.13,3615,-8151.0
204,0.19,0.68,0.13,3637,-8011.0
205,0.19,0.7,0.11,3543,-7917.0
206,0.13,0.69,0.18,3615,-8313.0
207,0.19,0.68,0.13,3598,-7972.0
208,0.19,0.72,0.09,3445,-7819.0
209,0.15,0.7,0.15,3564,-8154.0
210,0.1,0.75,0.15,3527,-8387.0
211,0.23,0.61,0.16,3946,-8104.0
212,0.18,0.7,0.12,3538,-7966.0
213,0.21,0.63,0.16,3937,-8203.0
214,0.18,0.69,0.13,3532,-7960.0
215,0.15,0.73,0.12,3499,-8089.0
216,0.23,0.62,0.15,4294,-8452.0
217,0.14,0.73,0.13,3628,-8272.0
218,0.15,0.72,0.13,3464,-8054.0
219,0.16,0.65,0.19,3986,-8522.0
220,0.12,0.72,0.16,3617,-8369.0
221,0.17,0.71,0.12,3443,-7925.0
222,0.12,0.72,0.16,3713,-8465.0
223,0.13,0.76,0.11,3430,-8128.0
224,0.3,0.58,0.12,4229,-8009.0
225,0.19,0.64,0.17,3933,-8307.0
226,0.17,0.69,0.14,3696,-8178.0
227,0.18,0.72,0.1,3773,-8201.0
228,0.15,0.71,0.14,3731,-8321.0
229,0.21,0.72,0.07,3295,-7561.0
230,0.21,0.66,0.13,3861,-8127.0
231,0.12,0.71,0.17,3726,-8478.0
232,0.2,0.65,0.15,3881,-8201.0
233,0.11,0.75,0.14,3566,-8372.0
234,0.17,0.66,0.17,3698,-8180.0
235,0.23,0.67,0.1,3583,-7741.0
236,0.18,0.64,0.18,3744,-8172.0
237,0.15,0.71,0.14,3625,-8215.0
238,0.14,0.77,0.09,3341,-7985.0
239,0.15,0.71,0.14,3669,-8259.0
240,0.18,0.73,0.09,3488,-7916.0
241,0.25,0.65,0.1,3654,-7704.0
242,0.21,0.67,0.12,3723,-7989.0
243,0.16,0.74,0.1,3413,-7949.0
244,0.15,0.73,0.12,3529,-8119.0
245,0.16,0.77,0.07,3199,-7735.0
246,0.2,0.62,0.18,4031,-8351.0
247,0.24,0.71,0.05,3199,-7303.0
