EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.2,0.68,0.12,3756,-8076.0
2,0.2,0.65,0.15,3753,-8073.0
3,0.18,0.68,0.14,3457,-7885.0
4,0.18,0.68,0.14,3644,-8072.0
5,0.14,0.76,0.1,3365,-8009.0
6,0.23,0.61,0.16,3998,-8156.0
7,0.21,0.65,0.14,3808,-8074.0
8,0.13,0.7,0.17,3978,-8676.0
9,0.19,0.68,0.13,3967,-8341.0
10,0.13,0.68,0.19,3996,-8694.0
11,0.14,0.67,0.19,3844,-8488.0
12,0.21,0.65,0.14,3801,-8067.0
13,0.2,0.7,0.1,3673,-7993.0
14,0.18,0.66,0.16,3893,-8321.0
15,0.16,0.67,0.17,3783,-8319.0
16,0.15,0.7,0.15,3651,-8241.0
17,0.14,0.74,0.12,3516,-8160.0
18,0.21,0.7,0.09,3719,-7985.0
19,0.22,0.64,0.14,3989,-8201.0
20,0.11,0.71,0.18,3763,-8569.0
21,0.16,0.65,0.19,3921,-8457.0
22,0.28,0.65,0.07,3806,-7694.0
23,0.08,0.77,0.15,3424,-8392.0
24,0.09,0.79,0.12,3099,-8013.0
25,0.16,0.65,0.19,3875,-8411.0
26,0.2,0.69,0.11,3740,-8060.0
27,0.1,0.7,0.2,3717,-8577.0
28,0.15,0.68,0.17,3926,-8516.0
29,0.17,0.71,0.12,3371,-7853.0
30,0.17,0.65,0.18,3948,-8430.0
31,0.16,0.67,0.17,3737,-8273.0
32,0.18,0.69,0.13,3411,-7839.0
33,0.15,0.69,0.16,3806,-8396.0
34,0.2,0.67,0.13,3970,-8290.0
35,0.23,0.65,0.12,3874,-8032.0
36,0.13,0.73,0.14,3562,-8260.0
37,0.19,0.75,0.06,3129,-7503.0
38,0.21,0.66,0.13,3763,-8029.0
39,0.14,0.81,0.05,2974,-7618.0
40,0.14,0.71,0.15,3366,-8010.0
41,0.21,0.65,0.14,3663,-7929.0
42,0.13,0.79,0.08,3443,-8141.0
43,0.19,0.65,0.16,3847,-8221.0
44,0.11,0.7,0.19,4025,-8831.0
45,0.13,0.68,0.19,3763,-8461.0
46,0.21,0.7,0.09,3624,-7890.0
47,0.2,0.67,0.13,3674,-7994.0
48,0.13,0.8,0.07,3079,-7777.0
49,0.24,0.6,0.16,4042,-8146.0
50,0.22,0.6,0.18,4203,-8415.0
51,0.16,0.72,0.12,3277,-7813.0
52,0.23,0.67,0.1,3721,-7879.0
53,0.17,0.68,0.15,3928,-8410.0
54,0.22,0.69,0.09,3628,-7840.0
55,0.12,0.75,0.13,3807,-8559.0
56,0.12,0.75,0.13,3650,-8402.0
57,0.22,0.62,0.16,4049,-8261.0
58,0.14,0.68,0.18,3906,-8550.0
59,0.15,0.71,0.14,3533,-8123.0
60,0.17,0.67,0.16,3725,-8207.0
61,0.21,0.62,0.17,3853,-8119.0
62,0.17,0.73,0.1,3520,-8002.0
63,0.16,0.68,0.16,3860,-8396.0
64,0.22,0.64,0.14,3959,-8171.0
65,0.2,0.64,0.16,4001,-8321.0
66,0.2,0.66,0.14,3886,-8206.0
67,0.14,0.7,0.16,3734,-8378.0
68,0.2,0.69,0.11,3704,-8024.0
69,0.18,0.75,0.07,3419,-7847.0
70,0.2,0.67,0.13,3749,-8069.0
71,0.19,0.65,0.16,3781,-8155.0
72,0.14,0.69,0.17,3772,-8416.0
73,0.22,0.73,0.05,3352,-7564.0
74,0.15,0.75,0.1,3296,-7886.0
75,0.16,0.68,0.16,3605,-8141.0
76,0.12,0.73,0.15,3655,-8407.0
77,0.18,0.69,0.13,3888,-8316.0
78,0.2,0.68,0.12,3725,-8045.0
79,0.2,0.72,0.08,3565,-7885.0
80,0.17,0.65,0.18,4179,-8661.0
81,0.18,0.72,0.1,3405,-7833.0
82,0.16,0.72,0.12,3479,-8015.0
83,0.17,0.67,0.16,3778,-8260.0
84,0.23,0.63,0.14,3648,-7806.0
85,0.18,0.66,0.16,3795,-8223.0
86,0.2,0.66,0.14,3870,-8190.0
87,0.14,0.72,0.14,3483,-8127.0
88,0.26,0.61,0.13,4017,-8013.0
89,0.16,0.74,0.1,3475,-8011.0
90,0.2,0.65,0.15,4064,-8384.0
91,0.22,0.67,0.11,3659,-7871.0
92,0.2,0.68,0.12,3983,-8303.0
93,0.13,0.73,0.14,3441,-8139.0
94,0.11,0.75,0.14,3296,-8102.0
95,0.21,0.64,0.15,4005,-8271.0
96,0.16,0.72,0.12,3581,-8117.0
97,0.14,0.74,0.12,3347,-7991.0
98,0.18,0.67,0.15,3729,-8157.0
99,0.22,0.64,0.14,3895,-8107.0
100,0.19,0.68,0.13,3698,-8072.0
101,0.14,0.7,0.16,3773,-8417.0
102,0.17,0.6,0.23,4007,-8489.0
103,0.12,0.71,0.17,3861,-8613.0
104,0.17,0.67,0.16,3633,-8115.0
105,0.14,0.71,0.15,3814,-8458.0
106,0.18,0.65,0.17,3927,-8355.0
107,0.16,0.67,0.17,4003,-8539.0
108,0.16,0.69,0.15,3722,-8258.0
109,0.15,0.71,0.14,3515,-8105.0
110,0.25,0.63,0.12,4075,-8125.0
111,0.14,0.69,0.17,3945,-8589.0
112,0.18,0.68,0.14,3886,-8314.0
113,0.16,0.68,0.16,3397,-7933.0
114,0.17,0.64,0.19,4154,-8636.0
115,0.15,0.77,0.08,3306,-7896.0
116,0.17,0.68,0.15,3852,-8334.0
117,0.13,0.79,0.08,3203,-7901.0
118,0.14,0.71,0.15,3955,-8599.0
119,0.17,0.67,0.16,3702,-8184.0
120,0.18,0.61,0.21,3975,-8403.0
121,0.18,0.67,0.15,4023,-8451.0
122,0.18,0.65,0.17,3992,-8420.0
123,0.16,0.62,0.22,3879,-8415.0
124,0.27,0.61,0.12,4006,-7948.0
125,0.23,0.61,0.16,4155,-8313.0
126,0.11,0.68,0.21,4002,-8808.0
127,0.16,0.69,0.15,3805,-8341.0
128,0.19,0.68,0.13,3565,-7939.0
129,0.2,0.63,0.17,3891,-8211.0
130,0.11,0.79,0.1,3382,-8188.0
131,0.14,0.72,0.14,3753,-8397.0
132,0.27,0.61,0.12,3817,-7759.0
133,0.21,0.69,0.1,3589,-7855.0
134,0.17,0.7,0.13,3662,-8144.0
135,0.16,0.63,0.21,4030,-8566.0
136,0.16,0.68,0.16,3983,-8519.0
137,0.18,0.72,0.1,3596,-8024.0
138,0.16,0.65,0.19,4038,-8574.0
139,0.21,0.64,0.15,3649,-7915.0
140,0.14,0.68,0.18,3566,-8210.0
141,0.23,0.63,0.14,3850,-8008.0
142,0.23,0.72,0.05,3342,-7500.0
143,0.18,0.66,0.16,3798,-8226.0
144,0.19,0.62,0.19,3979,-8353.0
145,0.19,0.68,0.13,3817,-8191.0
146,0.13,0.72,0.15,3812,-8510.0
147,0.15,0.69,0.16,3728,-8318.0
148,0.21,0.68,0.11,3671,-7937.0
149,0.16,0.63,0.21,4176,-8712.0
150,0.22,0.69,0.09,3744,-7956.0
151,0.15,0.66,0.19,3947,-8537.0
152,0.16,0.69,0.15,3763,-8299.0
153,0.21,0.62,0.17,4053,-8319.0
154,0.19,0.7,0.11,3611,-7985.0
155,0.14,0.7,0.16,3830,-8474.0
156,0.16,0.71,0.13,3838,-8374.0
157,0.24,0.58,0.18,4283,-8387.0
158,0.19,0.71,0.1,3606,-7980.0
159,0.16,0.63,0.21,3982,-8518.0
160,0.17,0.66,0.17,3769,-8251.0
161,0.17,0.65,0.18,3899,-8381.0
162,0.22,0.64,0.14,4013,-8225.0
163,0.17,0.72,0.11,3319,-7801.0
164,0.19,0.68,0.13,3708,-8082.0
165,0.12,0.74,0.14,3623,-8375.0
166,0.18,0.65,0.17,3769,-8197.0
167,0.17,0.7,0.13,3550,-8032.0
168,0.21,0.67,0.12,3642,-7908.0
169,0.18,0.67,0.15,3583,-8011.0
170,0.19,0.69,0.12,3449,-7823.0
171,0.08,0.69,0.23,4002,-8970.0
172,0.23,0.66,0.11,3608,-7766.0
173,0.21,0.65,0.14,4122,-8388.0
174,0.2,0.69,0.11,3703,-8023.0
175,0.1,0.77,0.13,3422,-8282.0
176,0.24,0.68,0.08,3490,-7594.0
177,0.13,0.78,0.09,3439,-8137.0
178,0.21,0.64,0.15,3858,-8124.0
179,0.13,0.8,0.07,3125,-7823.0
180,0.16,0.72,0.12,3647,-8183.0
181,0.17,0.72,0.11,3486,-7968.0
182,0.13,0.8,0.07,2944,-7642.0
183,0.13,0.76,0.11,3160,-7858.0
184,0.2,0.71,0.09,3501,-7821.0
185,0.22,0.64,0.14,3803,-8015.0
186,0.2,0.65,0.15,3962,-8282.0
187,0.21,0.7,0.09,3492,-7758.0
188,0.21,0.68,0.11,3798,-8064.0
189,0.19,0.67,0.14,3879,-8253.0
190,0.15,0.69,0.16,3734,-8324.0
191,0.16,0.71,0.13,3483,-8019.0
192,0.22,0.61,0.17,3923,-8135.0
193,0.2,0.62,0.18,4018,-8338.0
194,0.19,0.66,0.15,4018,-8392.0
195,0.23,0.64,0.13,3724,-7882.0
196,0.19,0.66,0.15,3874,-8248.0
197,0.16,0.69,0.15,3831,-8367.0
198,0.15,0.74,0.11,3295,-7885.0
199,0.23,0.68,0.09,3645,-7803.0
200,0.15,0.72,0.13,3470,-8060.0
201,0.17,0.74,0.09,3374,-7856.0
202,0.15,0.73,0.12,3453,-8043.0
203,0.19,0.7,0.11,3614,-7988.0
204,0.23,0.62,0.15,4014,-8172.0
205,0.22,0.65,0.13,3814,-8026.0
206,0.21,0.7,0.09,3606,-7872.0
207,0.19,0.69,0.12,3984,-8358.0
208,0.18,0.67,0.15,3611,-8039.0
209,0.13,0.75,0.12,3626,-8324.0
210,0.18,0.69,0.13,3782,-8210.0
211,0.15,0.76,0.09,3355,-7945.0
212,0.2,0.66,0.14,3584,-7904.0
213,0.18,0.63,0.19,3914,-8342.0
214,0.13,0.77,0.1,3437,-8135.0
215,0.22,0.67,0.11,3824,-8036.0
216,0.15,0.71,0.14,3416,-8006.0
217,0.1,0.77,0.13,3451,-8311.0
218,0.18,0.72,0.1,3473,-7901.0
219,0.15,0.75,0.1,3615,-8205.0
220,0.18,0.67,0.15,3706,-8134.0
221,0.16,0.61,0.23,4411,-8947.0
222,0.26,0.57,0.17,4315,-8311.0
223,0.11,0.69,0.2,3767,-8573.0
224,0.14,0.7,0.16,3549,-8193.0
225,0.21,0.61,0.18,4203,-8469.0
226,0.16,0.71,0.13,3714,-8250.0
227,0.14,0.7,0.16,3627,-8271.0
