EpisodeNr,RescuedRatio,TornsRatio,BoredomRatio,TimeInActions,TotalReward
1,0.15,0.71,0.14,3728,-8318.0
2,0.13,0.75,0.12,3513,-8211.0
3,0.16,0.61,0.23,4246,-8782.0
4,0.27,0.61,0.12,3875,-7817.0
5,0.16,0.67,0.17,3945,-8481.0
6,0.14,0.78,0.08,3325,-7969.0
7,0.25,0.61,0.14,3903,-7953.0
8,0.18,0.62,0.2,4202,-8630.0
9,0.19,0.67,0.14,3865,-8239.0
10,0.16,0.71,0.13,3615,-8151.0
11,0.17,0.66,0.17,3838,-8320.0
12,0.13,0.74,0.13,3544,-8242.0
13,0.22,0.65,0.13,3811,-8023.0
14,0.23,0.7,0.07,3746,-7904.0
15,0.24,0.62,0.14,3850,-7954.0
16,0.21,0.64,0.15,3792,-8058.0
17,0.13,0.69,0.18,3857,-8555.0
18,0.14,0.66,0.2,4057,-8701.0
19,0.21,0.74,0.05,3036,-7302.0
20,0.22,0.64,0.14,3869,-8081.0
21,0.21,0.62,0.17,3718,-7984.0
22,0.12,0.72,0.16,3580,-8332.0
23,0.12,0.77,0.11,3486,-8238.0
24,0.21,0.65,0.14,3964,-8230.0
25,0.22,0.69,0.09,3423,-7635.0
26,0.14,0.71,0.15,4034,-8678.0
27,0.17,0.67,0.16,3768,-8250.0
28,0.2,0.68,0.12,3645,-7965.0
29,0.26,0.57,0.17,4183,-8179.0
30,0.29,0.66,0.05,3630,-7464.0
31,0.19,0.69,0.12,3622,-7996.0
32,0.2,0.67,0.13,3625,-7945.0
33,0.23,0.58,0.19,4097,-8255.0
34,0.17,0.68,0.15,3562,-8044.0
35,0.18,0.7,0.12,3429,-7857.0
36,0.17,0.58,0.25,4346,-8828.0
37,0.14,0.68,0.18,3883,-8527.0
38,0.21,0.67,0.12,3633,-7899.0
39,0.2,0.7,0.1,3314,-7634.0
40,0.14,0.76,0.1,3432,-8076.0
41,0.18,0.66,0.16,3801,-8229.0
42,0.15,0.71,0.14,3538,-8128.0
43,0.2,0.73,0.07,3449,-7769.0
44,0.12,0.73,0.15,3802,-8554.0
45,0.14,0.71,0.15,3552,-8196.0
46,0.15,0.65,0.2,4091,-8681.0
47,0.15,0.75,0.1,3330,-7920.0
48,0.15,0.75,0.1,3564,-8154.0
49,0.17,0.7,0.13,3389,-7871.0
50,0.16,0.66,0.18,4080,-8616.0
51,0.21,0.65,0.14,3774,-8040.0
52,0.16,0.65,0.19,3877,-8413.0
53,0.2,0.73,0.07,3520,-7840.0
54,0.14,0.68,0.18,3983,-8627.0
55,0.18,0.65,0.17,3897,-8325.0
56,0.16,0.68,0.16,3691,-8227.0
57,0.2,0.66,0.14,3943,-8263.0
58,0.14,0.71,0.15,3930,-8574.0
59,0.22,0.65,0.13,3636,-7848.0
60,0.2,0.7,0.1,3419,-7739.0
61,0.23,0.6,0.17,4186,-8344.0
62,0.17,0.67,0.16,3742,-8224.0
63,0.15,0.72,0.13,3559,-8149.0
64,0.22,0.67,0.11,3786,-7998.0
65,0.12,0.71,0.17,3778,-8530.0
66,0.17,0.66,0.17,3722,-8204.0
67,0.19,0.68,0.13,3768,-8142.0
68,0.1,0.78,0.12,3462,-8322.0
69,0.12,0.76,0.12,3598,-8350.0
70,0.09,0.68,0.23,4010,-8924.0
71,0.23,0.66,0.11,3675,-7833.0
72,0.22,0.65,0.13,3750,-7962.0
73,0.23,0.67,0.1,3763,-7921.0
74,0.2,0.64,0.16,3955,-8275.0
75,0.1,0.71,0.19,3705,-8565.0
76,0.19,0.7,0.11,3479,-7853.0
77,0.17,0.72,0.11,3507,-7989.0
78,0.16,0.7,0.14,3849,-8385.0
79,0.16,0.75,0.09,3327,-7863.0
80,0.21,0.66,0.13,3768,-8034.0
81,0.11,0.77,0.12,3344,-8150.0
82,0.21,0.63,0.16,3646,-7912.0
83,0.23,0.7,0.07,3509,-7667.0
84,0.18,0.65,0.17,4082,-8510.0
85,0.12,0.78,0.1,3412,-8164.0
86,0.18,0.69,0.13,3694,-8122.0
87,0.18,0.72,0.1,3629,-8057.0
88,0.14,0.66,0.2,3893,-8537.0
89,0.19,0.65,0.16,3693,-8067.0
90,0.2,0.66,0.14,3592,-7912.0
91,0.23,0.61,0.16,4090,-8248.0
92,0.19,0.69,0.12,3727,-8101.0
93,0.18,0.7,0.12,3438,-7866.0
94,0.17,0.7,0.13,3602,-8084.0
95,0.11,0.75,0.14,3608,-8414.0
96,0.17,0.7,0.13,3829,-8311.0
97,0.17,0.69,0.14,3734,-8216.0
98,0.22,0.59,0.19,4237,-8449.0
99,0.25,0.6,0.15,4118,-8168.0
100,0.16,0.73,0.11,3583,-8119.0
101,0.19,0.61,0.2,4246,-8620.0
102,0.17,0.73,0.1,3627,-8109.0
103,0.14,0.77,0.09,3205,-7849.0
104,0.19,0.61,0.2,4216,-8590.0
105,0.17,0.71,0.12,3635,-8117.0
106,0.23,0.57,0.2,4213,-8371.0
107,0.15,0.65,0.2,3949,-8539.0
108,0.22,0.63,0.15,3940,-8152.0
109,0.18,0.65,0.17,3983,-8411.0
110,0.24,0.7,0.06,3384,-7488.0
111,0.2,0.6,0.2,4370,-8690.0
112,0.18,0.68,0.14,3842,-8270.0
113,0.24,0.7,0.06,3549,-7653.0
114,0.13,0.66,0.21,3605,-8303.0
115,0.11,0.75,0.14,3493,-8299.0
116,0.18,0.65,0.17,4105,-8533.0
117,0.19,0.67,0.14,3707,-8081.0
118,0.18,0.65,0.17,4069,-8497.0
119,0.24,0.6,0.16,3958,-8062.0
120,0.19,0.64,0.17,3856,-8230.0
121,0.19,0.7,0.11,3533,-7907.0
122,0.17,0.7,0.13,3756,-8238.0
123,0.19,0.65,0.16,3866,-8240.0
124,0.13,0.7,0.17,3654,-8352.0
125,0.19,0.68,0.13,3627,-8001.0
126,0.21,0.64,0.15,3704,-7970.0
127,0.2,0.67,0.13,3761,-8081.0
128,0.2,0.65,0.15,4001,-8321.0
129,0.16,0.63,0.21,4043,-8579.0
130,0.18,0.67,0.15,4355,-8783.0
131,0.2,0.63,0.17,3860,-8180.0
132,0.27,0.56,0.17,4238,-8180.0
133,0.16,0.67,0.17,3764,-8300.0
134,0.18,0.63,0.19,4044,-8472.0
135,0.2,0.66,0.14,3760,-8080.0
136,0.26,0.68,0.06,3517,-7513.0
137,0.15,0.78,0.07,2972,-7562.0
138,0.18,0.69,0.13,3827,-8255.0
139,0.12,0.7,0.18,3797,-8549.0
