Idx,ActionNr,Rescued
1,70,1
2,426,2
3,520,3
4,590,4
5,669,5
6,766,6
7,852,7
8,1151,8
9,1252,9
10,1391,10
11,1434,11
12,1502,12
13,1726,13
14,1786,14
15,1981,15
16,2175,16
17,2308,17
18,2343,18
19,2471,19
20,3203,20
21,3344,21
22,3544,22
23,3707,23
24,3767,24
25,4198,25
26,4326,26
27,4679,27
28,4986,28
29,5054,29
30,5447,30
31,5552,31
32,5813,32
33,6107,33
34,6322,34
35,6544,35
36,6886,36
37,6957,37
38,7012,38
39,7404,39
40,7790,40
41,7942,41
42,8255,42
43,8412,43
44,8796,44
45,9003,45
46,9398,46
47,9971,47
48,10362,48
49,10670,49
50,10710,50
51,10900,51
52,11080,52
53,11302,53
54,11522,54
55,11819,55
56,11907,56
57,11949,57
58,12089,58
59,12343,59
60,12442,60
61,12702,61
62,13041,62
63,13120,63
64,13237,64
65,13509,65
66,13578,66
67,13645,67
68,14163,68
69,14285,69
70,14564,70
71,14872,71
72,14955,72
73,15380,73
74,15457,74
75,15871,75
76,16312,76
77,16557,77
78,16893,78
79,16982,79
80,17091,80
81,17632,81
82,18097,82
83,18150,83
84,18380,84
85,18553,85
86,19005,86
87,19187,87
88,19262,88
89,19711,89
90,19788,90
91,19929,91
92,20050,92
93,20432,93
94,20639,94
95,20709,95
96,20756,96
97,21080,97
98,21323,98
99,21883,99
100,22102,100
101,22213,101
102,22264,102
103,22482,103
104,22717,104
105,23057,105
106,23189,106
107,23384,107
108,23602,108
109,23748,109
110,23799,110
111,23911,111
112,23954,112
113,24274,113
114,24345,114
115,24648,115
116,24714,116
117,24897,117
118,25239,118
119,25262,119
120,25437,120
121,25487,121
122,25579,122
123,25757,123
124,25839,124
125,26281,125
126,26820,126
127,26901,127
128,27148,128
129,28089,129
130,28149,130
131,28207,131
132,28874,132
133,28950,133
134,28985,134
135,29395,135
136,29437,136
137,29723,137
138,30049,138
139,30215,139
140,30293,140
141,30421,141
142,30563,142
143,30726,143
144,30909,144
145,31158,145
146,31424,146
147,31549,147
148,32077,148
149,32710,149
150,32844,150
151,33168,151
152,33280,152
153,33351,153
154,33526,154
155,33711,155
156,33901,156
157,34164,157
158,34334,158
159,34456,159
160,34552,160
161,34607,161
162,34916,162
163,35537,163
164,35581,164
165,35927,165
166,36120,166
167,36615,167
168,36659,168
169,36846,169
170,36968,170
171,37139,171
172,37188,172
173,37286,173
174,37395,174
175,37425,175
176,37765,176
177,38201,177
178,38328,178
179,38371,179
180,38819,180
181,39226,181
182,39294,182
183,39338,183
184,39568,184
185,40124,185
186,40217,186
187,40578,187
188,40709,188
189,41116,189
190,41200,190
191,41525,191
192,41680,192
193,42686,193
194,43166,194
195,43476,195
196,43580,196
197,43740,197
198,43820,198
199,44051,199
200,44443,200
201,44511,201
202,44574,202
203,44680,203
204,44772,204
205,44847,205
206,45331,206
207,45403,207
208,45504,208
209,45651,209
210,45878,210
211,45927,211
212,46319,212
213,46485,213
214,47139,214
215,47207,215
216,47272,216
217,47801,217
218,48091,218
219,48280,219
220,48497,220
221,48640,221
222,49131,222
223,49179,223
224,49321,224
225,49468,225
226,50253,226
227,50314,227
228,50431,228
229,50870,229
230,50921,230
231,50976,231
232,51097,232
233,51222,233
234,51269,234
235,51335,235
236,51447,236
237,51598,237
238,51932,238
239,52110,239
240,52248,240
241,52647,241
242,52887,242
243,52931,243
244,53261,244
245,53491,245
246,53594,246
247,53794,247
248,53990,248
249,54605,249
250,54682,250
251,54747,251
252,55148,252
253,55243,253
254,55341,254
255,55416,255
256,56248,256
257,56332,257
258,56421,258
259,56776,259
260,57020,260
261,57534,261
262,57589,262
263,58035,263
264,58098,264
265,58351,265
266,58447,266
267,58699,267
268,58794,268
269,59090,269
270,59282,270
271,59412,271
272,59556,272
273,59809,273
274,60039,274
275,60173,275
276,60510,276
277,60547,277
278,60779,278
279,61248,279
280,61368,280
281,61595,281
282,61709,282
283,61774,283
284,61818,284
285,61929,285
286,62030,286
287,62157,287
288,62486,288
289,62683,289
290,62854,290
291,62903,291
292,63092,292
293,63264,293
294,63749,294
295,63817,295
296,64203,296
297,64279,297
298,64327,298
299,64694,299
300,64838,300
301,65245,301
302,65592,302
303,65695,303
304,65771,304
305,66056,305
306,66118,306
307,66301,307
308,66386,308
309,66733,309
310,66824,310
311,66937,311
312,66999,312
313,67378,313
314,67521,314
315,67699,315
316,67770,316
317,67970,317
318,68201,318
319,68399,319
320,68510,320
321,68918,321
322,69013,322
323,69064,323
324,69503,324
325,69680,325
326,69731,326
327,70227,327
328,70271,328
329,70429,329
330,70448,330
331,70543,331
332,70720,332
333,71057,333
334,71469,334
335,71658,335
336,72163,336
337,72576,337
338,72631,338
339,72826,339
340,72899,340
341,73178,341
342,73328,342
343,73374,343
344,73578,344
345,73691,345
346,74149,346
347,74457,347
348,74542,348
349,74602,349
350,74821,350
351,75170,351
352,75365,352
353,75427,353
354,75995,354
355,76333,355
356,76554,356
357,76588,357
358,76683,358
359,76880,359
360,77209,360
361,77686,361
362,77795,362
363,77917,363
364,78060,364
365,78311,365
366,78411,366
367,78504,367
368,78823,368
369,78928,369
370,79748,370
371,80338,371
372,80461,372
373,80573,373
374,80623,374
375,80854,375
376,81040,376
377,81116,377
378,81208,378
379,81246,379
380,81571,380
381,81834,381
382,81902,382
383,81943,383
384,82373,384
385,82490,385
386,83684,386
387,83814,387
388,84005,388
389,84057,389
390,84208,390
391,84255,391
392,84544,392
393,84795,393
394,84846,394
395,84922,395
396,85039,396
397,85130,397
398,85173,398
399,85366,399
400,85530,400
401,85762,401
402,85944,402
403,86214,403
404,86631,404
405,86797,405
406,86857,406
407,87154,407
408,87200,408
409,87276,409
410,87540,410
411,87729,411
412,87786,412
413,87947,413
414,88044,414
415,88266,415
416,88705,416
417,88764,417
418,89039,418
419,89228,419
420,89459,420
421,89540,421
422,89665,422
423,89831,423
424,90150,424
425,90202,425
426,90463,426
427,90509,427
428,90586,428
429,90883,429
430,91109,430
431,91488,431
432,91658,432
433,91823,433
434,91885,434
435,91927,435
436,91959,436
437,92499,437
438,92572,438
439,92715,439
440,92866,440
441,93146,441
442,93208,442
443,94062,443
444,94242,444
445,94519,445
446,94648,446
447,95047,447
448,95405,448
449,95826,449
450,96022,450
451,96169,451
452,96296,452
453,96562,453
454,96867,454
455,97241,455
456,97299,456
457,97557,457
458,97755,458
459,97843,459
460,97979,460
461,98040,461
462,98090,462
463,98193,463
464,98287,464
465,98689,465
466,98835,466
467,99172,467
468,99289,468
469,99395,469
470,99453,470
471,99599,471
472,99764,472
473,99997,473
474,100257,474
475,100351,475
476,101169,476
477,101358,477
478,101434,478
479,101737,479
480,101809,480
481,102157,481
482,102282,482
483,102521,483
484,102751,484
485,102860,485
486,103012,486
487,103157,487
488,103222,488
489,103425,489
490,103492,490
491,103824,491
492,104134,492
493,104383,493
494,104415,494
495,104592,495
496,104846,496
497,104916,497
498,105125,498
499,105183,499
500,105285,500
501,105396,501
502,105527,502
503,105569,503
504,105726,504
505,105802,505
506,106244,506
507,106299,507
508,106453,508
509,106614,509
510,106651,510
511,106743,511
512,106960,512
513,107036,513
514,107136,514
515,107581,515
516,107718,516
517,107770,517
518,108284,518
519,108380,519
520,108480,520
521,108595,521
522,108708,522
523,109004,523
524,109243,524
525,109518,525
526,109717,526
