Idx,ActionNr,Rescued
1,4769.0000,
2,9538.0000,
3,14307.0000,
4,19076.0000,
5,23845.0000,
6,28614.0000,
7,33383.0000,
8,38152.0000,
9,42921.0000,
10,47690.0000,
11,52460.0000,
12,57229.0000,
13,61998.0000,
14,66767.0000,
15,71536.0000,
16,76305.0000,
17,81074.0000,
18,85843.0000,
19,90612.0000,
20,95381.0000,
21,100150.0000,148.2000
22,104919.0000,160.6000
23,109688.0000,175.8000
24,114457.0000,191.2000
25,119226.0000,204.2000
26,123995.0000,217.6000
27,128764.0000,231.6000
28,133533.0000,245.8000
29,138302.0000,266.6000
30,143072.0000,288.0000
31,147841.0000,307.6000
32,152610.0000,328.0000
33,157379.0000,349.4000
34,162148.0000,381.4000
35,166917.0000,417.4000
36,171686.0000,455.4000
37,176455.0000,493.4000
38,181224.0000,534.8000
39,185993.0000,572.4000
40,190762.0000,608.8000
41,195531.0000,649.4000
42,200300.0000,691.8000
43,205069.0000,730.6000
44,209838.0000,772.0000
45,214607.0000,815.0000
46,219376.0000,858.6000
47,224145.0000,906.8000
48,228914.0000,953.2000
49,233683.0000,1004.6000
50,238452.0000,1066.8000
51,243222.0000,1128.6000
52,247991.0000,1199.6000
53,252760.0000,1267.0000
54,257529.0000,1347.6000
55,262298.0000,1422.8000
56,267067.0000,1506.6000
57,271836.0000,1585.2000
58,276605.0000,1668.2000
59,281374.0000,1752.6000
60,286143.0000,1840.2000
61,290912.0000,1930.6000
62,295681.0000,2021.2000
63,300450.0000,2124.4000
64,305219.0000,2217.8000
65,309988.0000,2305.0000
66,314757.0000,2390.2000
67,319526.0000,2481.6000
68,324295.0000,2565.4000
69,329064.0000,2656.2000
70,333834.0000,2748.6000
71,338603.0000,2843.4000
72,343372.0000,2957.0000
73,348141.0000,3068.2000
74,352910.0000,3186.0000
75,357679.0000,3301.2000
76,362448.0000,3415.8000
77,367217.0000,3525.2000
78,371986.0000,3636.0000
79,376755.0000,3754.2000
80,381524.0000,3877.4000
81,386293.0000,4003.6000
82,391062.0000,4126.0000
83,395831.0000,4252.6000
84,400600.0000,4387.6000
85,405369.0000,4524.4000
86,410138.0000,4660.6000
87,414907.0000,4796.8000
88,419676.0000,4931.0000
89,424445.0000,5071.2000
90,429214.0000,5204.2000
91,433984.0000,5356.0000
92,438753.0000,5511.2000
93,443522.0000,5662.8000
94,448291.0000,5805.8000
95,453060.0000,5950.8000
96,457829.0000,6093.6000
97,462598.0000,6241.6000
98,467367.0000,6385.6000
99,472136.0000,6541.2000
100,476905.0000,6698.0000
101,481674.0000,6855.4000
102,486443.0000,7008.2000
103,491212.0000,7161.6000
104,495981.0000,7318.0000
105,500750.0000,7474.0000
106,505519.0000,7615.8000
107,510288.0000,7754.8000
108,515057.0000,7892.6000
109,519826.0000,8033.0000
110,524596.0000,8174.0000
111,529365.0000,8306.6000
112,534134.0000,8449.2000
113,538903.0000,8587.2000
114,543672.0000,8728.2000
115,548441.0000,8876.4000
116,553210.0000,9025.6000
117,557979.0000,9175.4000
118,562748.0000,9332.2000
119,567517.0000,9482.6000
120,572286.0000,9636.6000
121,577055.0000,9794.4000
122,581824.0000,9952.4000
123,586593.0000,10112.8000
124,591362.0000,10271.4000
125,596131.0000,10426.2000
126,600900.0000,10585.4000
127,605669.0000,10742.8000
128,610438.0000,10904.2000
129,615207.0000,11071.2000
130,619976.0000,11239.8000
131,624746.0000,11408.8000
132,629515.0000,11573.2000
133,634284.0000,11744.4000
134,639053.0000,11914.4000
135,643822.0000,12082.8000
136,648591.0000,12256.4000
137,653360.0000,12431.0000
138,658129.0000,12606.0000
139,662898.0000,12772.0000
140,667667.0000,12942.6000
141,672436.0000,13115.6000
142,677205.0000,13282.8000
143,681974.0000,13459.8000
144,686743.0000,13635.8000
145,691512.0000,13809.8000
146,696281.0000,13983.8000
147,701050.0000,14149.6000
148,705819.0000,14318.8000
149,710588.0000,14487.0000
150,715358.0000,14656.4000
151,720127.0000,14828.2000
152,724896.0000,14998.8000
153,729665.0000,15174.0000
154,734434.0000,15345.6000
155,739203.0000,15519.0000
156,743972.0000,15688.4000
157,748741.0000,15865.4000
158,753510.0000,16047.2000
159,758279.0000,16231.6000
160,763048.0000,16415.0000
161,767817.0000,16576.8000
162,772586.0000,16722.2000
163,777355.0000,16866.4000
164,782124.0000,17011.0000
165,786893.0000,17158.2000
166,791662.0000,17304.6000
167,796431.0000,17453.6000
168,801200.0000,17599.8000
169,805969.0000,17746.2000
170,810738.0000,17889.4000
171,815508.0000,18024.0000
172,820277.0000,18132.6000
173,825046.0000,18240.6000
174,829815.0000,18346.4000
175,834584.0000,18458.2000
176,839353.0000,18553.8000
177,844122.0000,18633.4000
178,848891.0000,18709.4000
179,853660.0000,18790.4000
180,858429.0000,18868.4000
181,863198.0000,18946.8000
182,867967.0000,19025.0000
183,872736.0000,19102.4000
184,877505.0000,19177.0000
185,882274.0000,19256.2000
186,887043.0000,19334.0000
187,891812.0000,19414.0000
188,896581.0000,19467.8000
189,901350.0000,19506.2000
190,906120.0000,19545.6000
191,910889.0000,19585.2000
192,915658.0000,19625.6000
193,920427.0000,19666.0000
194,925196.0000,19706.0000
195,929965.0000,19744.4000
196,934734.0000,19784.4000
197,939503.0000,19823.2000
198,944272.0000,19861.8000
199,949041.0000,19900.6000
200,953810.0000,19941.4000
